# batch-041

---

## 11187: 青色申告承認取消処分取消等請求控訴事件

**東京高等裁判所 平成21年4月23日判決 | 棄却**

### 結論
- 本件控訴をいずれも棄却
- 青色申告承認取消処分及び重加算税賦課決定処分は適法

### 事案の概要
**当事者関係**
- 控訴人A株式会社（以下「控訴人A」）
- 控訴人B株式会社（以下「控訴人B」）
- 処分行政庁：所轄税務署長

**控訴人Aの事案**
- 平成17年3月期の事業年度について、広島営業所から送付された売上集計表により完成工事収入が1億1494万1180円であることを認識
- 同金額を一旦経理システムに入力したが、法人税負担軽減のため殊更に2000万円を控除
- 改変したデータに基づき帳簿書類を作成し直し、確定申告書を提出
- 控除した2000万円は翌事業年度に計上（いわゆる「期ズレ」）

**控訴人Bの事案**
- 平成16年6月期の事業年度について、投資契約の中途解約による投資収益を一括計上すべきことを認識
- 法人税負担軽減のため、リース個別台帳に中途解約の事実を記載せず
- 残存契約年数で按分した収益のみを分割計上
- 残余の投資利益は平成17年6月期・平成18年6月期に計上

### 争点
1. 控訴人Aの青色申告承認取消処分の適法性
2. 控訴人Aの重加算税賦課決定処分の適法性
3. 控訴人Bの青色申告承認取消処分の適法性
4. 控訴人Bの重加算税賦課決定処分の適法性
5. 更正処分に理由付記がないことが重加算税賦課決定処分の取消事由となるか

### 裁判所の判断
**控訴人Aの隠ぺい・仮装について**
- 完成工事収入から2000万円を故意に除外してデータ入力し帳簿書類を作成した行為は、取引の一部を隠ぺいして記載したことに該当
- 法人税法127条1項3号所定の青色申告承認取消要件を満たす
- 国税通則法68条1項所定の重加算税賦課要件を満たす

「控訴人Ａが上記のとおり平成１７年３月期の事業年度に生じた本件完成工事収入から２０００万円を故意に除外して経理システムにデータを入力して帳簿書類を作成したことは、同事業年度に係る帳簿書類に取引の一部を隠ぺいして記載したことに該当する」

**控訴人Bの隠ぺい・仮装について**
- 投資契約の中途解約及びこれによる投資収益の一括発生の事実を隠ぺい
- 投資契約の存続及び投資収益の按分発生を仮装して帳簿書類を作成
- 青色申告承認取消要件及び重加算税賦課要件を満たす

**事務運営指針との関係**
- 控訴人らは「期ズレ」の場合は事務運営指針により重加算税対象外と主張
- しかし、収入の一部を故意に除外して翌期に計上することは、同指針にいう「収入の計上の繰延べ」に該当しない
- 振替伝票を書き換えて総勘定元帳に記載することは「証ひょう書類等の改ざんによるもの等」に当たる

**最高裁平成7年4月28日判決との関係**
- 同判決は帳簿書類に不実記載をしていない事案であり、本件とは事案を異にする
- 「特段の行動」は極めて悪質な行為に限定されるものではない

**理由付記について**
- 青色申告承認取消処分の通知書に更正の理由が付記されていなくても、重加算税賦課決定処分が違法となるものではない

### 条文・通達の解説
- **法人税法127条1項3号**：青色申告承認取消事由。「その事業年度に係る帳簿書類に取引の全部又は一部を隠ぺいし又は仮装して記載し」た場合
- **国税通則法68条1項**：重加算税の賦課要件。課税標準等の計算の基礎となるべき事実を隠ぺい・仮装し、これに基づき納税申告書を提出した場合
- **法人税法130条2項**：青色申告法人に対する更正の理由付記義務
- **事務運営指針第1の3(1)**：売上げ等の収入の計上を繰り延べている場合で、翌事業年度の収益に計上されていることが確認されたときの取扱い

---

## 11188: 所得税納税告知処分取消等請求控訴事件

**大阪高等裁判所 平成21年4月24日判決 | 棄却（原審認容を維持）**

### 結論
- 本件控訴を棄却
- 造船契約解除に伴う返還金に付された約定金員は「貸付金に準ずるもの」の利子に該当しない

### 事案の概要
**当事者関係**
- 被控訴人（原審原告）：日本法人（売主）
- C社：外国法人（買主、リベリア共和国）
- B：建造者
- 処分行政庁：西税務署長

**経緯**
- 被控訴人はC社との間で船舶2隻の造船契約を締結
- C社から売買代金の一部前払として5億6152万1200円（本件分割払金）を受領
- 船舶の引渡遅延によりC社から契約を解除された
- 約定に基づき本件分割払金に年8%の金員8481万4369円（本件金員）を付して返還

**処分行政庁の主張**
- 本件金員は所得税法161条6号の「貸付金（これに準ずるものを含む。）に係る利子」に該当
- 国内源泉所得として源泉徴収義務がある

**課税処分**
- 所得税：1696万2873円（本件金員の20%）
- 不納付加算税：169万6287円（所得税の10%）

### 争点
本件金員が所得税法161条6号の「貸付金（これに準ずるものを含む。）の利子」に該当するか

### 裁判所の判断
**「貸付金（これに準ずるものを含む。）」の解釈**
- 消費貸借に基づく貸付債権を基本とし、その性質・内容等がこれとおおむね同様又は類似の債権をいう
- 控訴人の「信用の供与」を重視する解釈基準は採用できない

「所得税法１６１条６号の『貸付金（これに準ずるものを含む。）』とは、消費貸借に基づく貸付債権を基本としつつ、その性質、内容等がこれとおおむね同様又は類似の債権をいうものと解するのが相当である」

