# batch-049

---

## 11247: 法人税更正処分取消等請求上告事件

**最高裁判所 平成21年7月16日判決 | 取消（上告棄却）**

### 結論
- 上告を棄却
- 上告費用は上告人の負担

### 事案の概要

**当事者関係**
- 上告人：株式会社A
- 被上告人：新宿税務署長

**経緯**
- 下級審において法人税更正処分取消等請求に関する判決がなされた
- 上告人が上告を行った（11246事件の上告受理申立てと同一当事者）

### 争点
1. 上告理由が民訴法312条1項又は2項所定の事由に該当するか

### 裁判所の判断

> 「民事事件について最高裁判所に上告をすることが許されるのは、民訴法312条1項又は2項所定の場合に限られるところ、本件上告理由は、違憲及び理由の不備・食違いをいうが、その実質は事実誤認又は単なる法令違反を主張するものであって、明らかに上記各項に規定する事由に該当しない。」

### 条文・通達の解説
- **民訴法312条1項**：憲法違反を上告理由とする規定
- **民訴法312条2項**：判決に理由を付さないこと、理由に食違いがあること等の絶対的上告理由を規定

---

## 11248: 法人税更正等取消請求上告受理申立て事件

**名古屋高等裁判所 平成21年7月16日決定 | 取消（却下）**

### 結論
- 上告受理申立てを却下
- 上告受理申立ての費用は申立人の負担

### 事案の概要

**当事者関係**
- 申立人：法人税更正等取消請求の原告
- 相手方：税務署長

**経緯**
- 下級審において法人税更正等取消請求に関する判決がなされた
- 申立人が上告受理申立てを行ったが、理由書を法定期間内に提出しなかった

### 争点
1. 上告受理申立ての理由書が法定期間内に提出されたか

### 裁判所の判断

> 「本件記録によれば、上告状兼上告受理申立書には上告受理申立ての理由の記載がなく、また、申立人が平成21年5月22日上告受理申立て通知書の送達を受けたこと、申立人は上記上告受理申立て通知書の送達を受けた日から法定の期間内に上告受理申立ての理由書を提出すべきであるにもかかわらず、同期間内に上告受理申立ての理由書を提出していないことが明らかである。」

> 「よって、民事訴訟法318条5項、316条1項2号に従い本件上告受理申立てを却下し、上告受理申立ての費用の負担につき同法67条1項本文、61条を適用して、主文のとおり決定する。」

### 条文・通達の解説
- **民訴法318条5項**：上告受理申立ての理由書を提出しなかったときは、上告受理の申立てを却下しなければならない旨を規定
- **民訴法316条1項2号**：上告提起の通知を受けた日から50日以内に上告理由書を提出しなければならない旨を規定（318条5項により上告受理申立てに準用）

---

## 11252: 法人税更正処分取消等請求事件訴えの追加的併合申立事件

**東京地方裁判所 平成21年7月29日判決 | 取消（請求棄却）**

### 結論
- 原告の請求をいずれも棄却
- 訴訟費用は原告の負担
- 原告の元代表者が出資するオランダ法人Cに対する貸付金は、国外関連者に対する寄附金に該当し、損金不算入

### 事案の概要

**当事者関係**
- 原告：A株式会社（平成17年6月に解散、清算中）
- 元代表者：乙（平成6年10月～平成17年6月13日まで代表取締役）
- C：乙が全額出資するオランダ法人（平成11年2月設立、平成14年3月解散）
- 被告（第1事件）：国（処分行政庁：日本橋税務署長）
- 被告（第2事件）：東京都（処分行政庁：東京都中央都税事務所長）

**経緯**
- 平成11年2月3日：原告とCが債務保証契約を締結（原告がCの借入れを保証）
- 平成12年10月25日：CがF銀行から64億2500万円を借入れ（原告が保証・担保提供）
- 平成12年11月22日：CがG銀行から165億円を借入れ（原告が保証・担保提供）
- 上記借入金はF1事業（自動車レースB事業）に投資
- 平成13年7月以降：株価下落により追加担保要請
- 平成13年9月～11月：原告がCに合計229億2500万円を資金提供
- 平成14年3月4日：原告がCに対する債権を放棄（子会社整理損として損金算入）
- 平成17年3月28日：日本橋税務署長が更正処分・賦課決定処分

**金額等**
- 原告のCに対する資金提供合計：229億2500万円
- 原告がCから譲り受けた資産：132億3907万1251円
- 原告が放棄した債権額：237億9697万7933円
- 平成14年3月期の更正による増差税額：約30億円
- 平成15年3月期の更正による増差税額：約25億円

### 争点
1. 寄附金該当性の判断対象となる行為は何か（本件各担保提供か、本件各資金提供・本件債権放棄か）
2. 本件各資金提供・本件債権放棄が措置法66条の4第3項及び法人税法37条6項の「寄附金」に該当するか

### 裁判所の判断

**争点1について**

裁判所は、寄附金該当性の判断対象は本件各資金提供・本件債権放棄であると判示した。法人税法施行令78条が寄附金の支出は支払がされるまでなかったものとする旨規定していることから、金銭その他の資産又は経済的利益を現実に給付・供与した行為が判断対象となる。担保提供自体は資産・利益の現実の給付・供与ではない。

