# batch-170

---

## 12482: 処分取消請求事件

**東京地方裁判所 平成26年5月30日判決 | 請求棄却（課税庁勝訴）**

### 結論
- 「契約顧問先」譲渡契約に基づきB社に支払った「営業収益手数料」は、法人税法37条7項の寄附金に該当する
- 役員給与の減額改定は、法人税法施行令69条1項1号ハの事由に該当しない
- 更正処分及び過少申告加算税賦課決定処分は適法

### 事案の概要
**当事者関係**
- 原告：記帳整理及び決算書類の調製受託等を業とする株式会社
- B社：原告の関連会社（かつて原告と同じ代表者）
- 丁：原告及びB社の代表取締役

**経緯**
- 原告は平成7年にB社との間で「契約顧問先」を譲渡する旨の契約を締結
- 契約に基づきB社に「営業収益手数料」を支払い、損金算入
- 原告は代表取締役丁に対する役員給与を平成19年10月1日以降減額改定
- 税務署長は、営業収益手数料は寄附金に該当し、役員給与の減額改定は法令上の事由に該当しないとして更正処分等

**金額等**
- 対象事業年度：平成17年12月期〜平成21年12月期
- 法人税及び消費税の更正処分
- 過少申告加算税の賦課決定処分

### 争点
1. 本件支払手数料が法人税法37条7項の「寄附金」に該当するか
2. 本件給与改定が法人税法施行令69条1項1号ハの事由に該当するか

### 裁判所の判断
**争点1について**
- 本件譲渡契約の内容は、「契約顧問先」という収益獲得源泉の譲渡ではなく、原告が一定の業務を行うことにB社が協力するというもの
- 本件譲渡契約に基づく原告とB社の間の法律関係は曖昧
- 支払手数料の対価性は認められず、寄附金に該当する

**争点2について**
- 役員給与の減額改定は、役員の職務内容の重大な変更等の経営上の事情によるものとは認められない
- 法人税法施行令69条1項1号ハの「経営の状況が著しく悪化したことその他これに類する理由」には該当しない
- 減額前の金額を超える部分は損金不算入

### 条文・通達の解説
- **法人税法37条7項**：寄附金の定義（金銭その他の資産又は経済的な利益の贈与又は無償の供与）
- **法人税法34条1項**：役員給与の損金不算入の原則
- **法人税法施行令69条1項1号ハ**：定期同額給与の例外（経営状況の著しい悪化等による減額改定）

---

## 12484: 法人税更正処分取消等請求控訴事件

**東京高等裁判所 平成26年6月12日判決 | 控訴棄却（課税庁勝訴）**

### 結論
- 連結子会社の事業再編において、株式消却時に払い戻しをしなかったことによる経済的利益の移転は「寄附金」に該当する
- 本件消却株式の時価の算定（F銀行評価額）は合理的であり、本件各更正処分等は適法
- 控訴棄却

### 事案の概要
**当事者関係**
- 控訴人：OA機器製造販売会社（連結親会社）
- 本件各子会社：連結子会社51社
- B社：不動産管理事業を承継した存続会社

**経緯**
- 控訴人は連結子会社51社について事業再編を実施
- 債務超過の30社は第三者割当増資（総額845億円）を受けた後、減資・株式消却・吸収合併
- 株式消却に際し、増資をした30社は控訴人への払戻しをしなかった
- 控訴人は株式消却損として約1,391億円を損金算入
- 税務署長は、払戻しをしなかった分は寄附金に該当するとして更正処分等

**金額等**
- 本件時価：715億4,510万円
- 本件払戻額：85億2,007万円
- 寄附金認定額：628億7,877万円
- 損金不算入額：619億6,517万円

### 争点
1. 訴えの利益（本件更正処分・再更正処分の取消請求部分）
2. 本件払戻限度超過額の「寄附金」該当性
3. 本件株式消却における適正な「譲渡対価の額」

### 裁判所の判断
**争点1について**
- 本件更正処分は本件再更正処分に、本件再更正処分は本件再々更正処分に吸収される
- 本件更正処分及び本件再更正処分の取消しを求める部分は訴えの利益なし

**争点2について**
- 控訴人は株式消却により株主としての地位とその時価に相当する経済的利益を失った
- 時価よりも低い額の払戻しを受けたにとどまる
- 対価のない経済的利益の移転について通常の経済取引として是認できる合理的理由なし
- 本件払戻限度超過額も含めて寄附金に該当

**争点3について**
- F銀行作成の合併比率算定書に基づく評価額は、純資産価額方式により合理的に算定されたもの
- 本件時価の算定は適正

### 条文・通達の解説
- **法人税法37条7項**：寄附金の定義
- **法人税法61条の2第1項**：有価証券の譲渡損益
- **法人税法24条1項**：みなし配当
- **法基通4-1-5**：上場有価証券等以外の株式の価額

---

## 12485: 更正処分取消等請求事件

**新潟地方裁判所 平成26年6月13日判決 | 請求棄却（課税庁勝訴）**

### 結論
- グループ法人間の外注費・売上は架空取引であり、損金算入は認められない
- 重加算税の賦課決定処分及び青色申告承認取消処分は適法

### 事案の概要
**当事者関係**
- 原告A：警備業を営む株式会社（三条市）
- 原告B：警備業を営む株式会社（新潟市）
- 乙社長：原告らの代表取締役及び筆頭株主
- 甲：原告らの取締役（財務管理担当）

**経緯**
- 原告らは同一グループに属する関連法人
- 原告らは相互に警備請負の外注費・売上を計上
- 税務調査により、請求書に記載された人材派遣の事実がないことが判明
- 原告らは「業務提携契約に基づく開発費」と主張
- 税務署長は架空取引と認定し、更正処分・重加算税賦課決定処分・青色申告承認取消処分

**金額等**
- 原告A：平成20年12月期・平成21年12月期の法人税・消費税
- 原告B：平成20年7月期〜平成22年7月期の法人税・消費税
- 重加算税賦課決定処分
- 青色申告承認取消処分

### 争点
1. 本件外注費及び本件売上が開発費の実体を有するか

### 裁判所の判断
**架空取引の認定について**
- 原告らが主張する共同開発の実体を示す客観的証拠がない
- 業務提携契約書・ソフトウェア開発基本契約書は、税務調査段階では提出されず、審査請求段階で初めて提出
- 特許出願の時期がプログラム完成時期より前であり、共同開発の成果物とは認められない
- 経費の算定も合理性を欠く
- 本件外注費及び本件売上は架空取引と認定

**重加算税について**
- 派遣の事実のない請求書を作成し、架空の外注費・売上を帳簿に計上
- 事実を仮装して確定申告書を提出したものと認められる
- 国税通則法68条1項に該当

**青色申告承認取消について**
- 帳簿書類に取引の全部又は一部を隠蔽又は仮装して記載
- 法人税法127条1項3号に該当

### 条文・通達の解説
- **法人税法22条3項**：損金の額に算入すべき金額
- **国税通則法68条1項**：重加算税（隠蔽・仮装による過少申告に対し35%）
- **法人税法127条1項3号**：青色申告承認の取消し（帳簿書類への隠蔽・仮装記載）

---
