# batch-171

---

## 12487: 法人税更正処分取消等請求控訴事件

**東京高等裁判所 平成26年6月18日判決 | 控訴棄却（課税庁勝訴）**

### 結論
- 香港子会社Cの主たる事業は卸売業ではなく製造業である
- 中国深圳市の工場で製造を行っており、所在地国基準を満たさない
- 外国子会社合算税制（CFC税制）の適用除外は認められない
- 控訴棄却

### 事案の概要
**当事者関係**
- 控訴人：ゴムローラー及びゴムブランケットの製造販売会社（内国法人）
- C社：香港所在の子会社（特定外国子会社等）
- E社：中国深圳市所在の来料加工委託先
- 本件D工場：深圳市所在の製造工場

**経緯**
- 控訴人は香港にC社を設立
- C社は控訴人から印刷用ブランケットを仕入れ、深圳市のD工場でOA機器用ゴムロールを製造・販売
- C社は「来料加工」方式による製造委託契約を主張
- 税務署長は、C社が製造業を主として香港で行っていないとして、CFC税制を適用し更正処分等
- 控訴人はC社の事業は卸売業であり非関連者基準を満たす、又は所在地国基準を満たすと主張

**金額等**
- 対象事業年度：平成17年3月期〜平成21年3月期
- 課税対象留保金額の益金算入
- 過少申告加算税の賦課決定処分

### 争点
1. C社の主たる事業が卸売業か製造業か
2. 所在地国基準を満たすか（香港と中国を同一の「国又は地域」と解すべきか）
3. 経済的合理性がある場合にCFC税制の適用が除外されるか

### 裁判所の判断
**争点1について**
- C社が本件D工場の管理・運営を行っていたことを裏付ける証拠あり
- 国税調査官の調査報告書は、C社代表者Gの確認を経ており信用性あり
- C社は本件D工場において自ら本件製品を製造していると認定
- C社の主たる事業は製造業

**争点2について**
- 香港と中国本土は、関税領域、通貨、法制度等が異なる
- 租税特別措置法施行令の規定上、香港と中国は別の「国又は地域」
- C社は製造業を主として本店所在地国である香港で行っていない
- 所在地国基準を満たさない

**争点3について**
- CFC税制の適用除外は、租税特別措置法の条文に定められた要件に基づき判断すべき
- 「十分な経済的合理性」の有無という要件は法定されていない
- 租税回避目的がないことのみをもって適用除外とすることはできない

### 条文・通達の解説
- **租税特別措置法66条の6第1項**：外国子会社合算税制（特定外国子会社等の課税対象留保金額を内国法人の益金に算入）
- **租税特別措置法66条の6第4項2号**：所在地国基準（製造業等を主として本店所在地国で行っていること）
- **租税特別措置法施行令39条の14第2項1号**：本店所在地国の定義

---

## 12490: 損害賠償請求事件

**東京地方裁判所 平成26年6月20日判決 | 請求棄却（国勝訴）**

### 結論
- 東京国税局職員による金融機関への質問検査権の行使（銀行調査）は違法ではない
- 国家賠償請求は理由がない
- 請求棄却

### 事案の概要
**当事者関係**
- 原告A：輸入衣料用繊維製品の販売等を目的とする株式会社
- 原告B：同上
- 原告甲ら：原告甲及びその親族・関係者（個人23名）
- 訴外m社・訴外X社：風俗店グループに関係する法人

**経緯**
- 東京国税局は平成25年1月、風俗店グループに関係する法人に対する調査の一環として、訴外m社及び訴外X社の法人税等調査のため金融機関への銀行調査を実施
- 調査対象に原告ら名義の預金等が含まれていた
- 原告甲は訴外m社の経営に関与しており、過去の調査で借名口座の利用が判明していた
- 原告らは、銀行調査は質問検査権の濫用であり、プライバシー権を侵害するとして国家賠償請求

**金額等**
- 原告A：損害賠償請求額1,451万円余
- 原告B：損害賠償請求額165万円
- 原告甲ら：各11万円

### 争点
1. 本件銀行調査の違法性（質問検査権の濫用か）
2. 損害額

### 裁判所の判断
**争点1について**
- 質問検査権は、客観的な必要性があると判断される場合に認められる
- 実施の細目は、質問検査の必要があり、社会通念上相当な限度にとどまる限り、税務職員の合理的な選択に委ねられる
- 本件銀行調査は以下の理由で適法：
  - 原告甲は風俗店グループの経営に関与し、訴外m社等と密接な関係にあった
  - 原告甲が借名口座を利用していたことが過去の調査で判明
  - 調査対象者が調査に協力する姿勢を見せなかった
  - 銀行調査証を金融機関に示し、承諾を得た上で実施
- 国家賠償法1条1項の適用上違法とは認められない

**国税庁長官通達との関係**
- 本件銀行調査は、通達に定める「帳簿書類がないか不備な場合」「真実性を疑うに足りる相当の事由がある場合」に該当

### 条文・通達の解説
- **国税通則法74条の2**：税務職員の質問検査権
- **国家賠償法1条1項**：公務員の違法行為による損害賠償
- **昭和26年10月16日付直所1-117通達**：金融機関の預貯金等の調査について

---

## 12491: 法人税更正処分等取消請求控訴事件

**福岡高等裁判所 平成26年6月24日判決 | 控訴棄却（課税庁勝訴）**

### 結論
- 財団法人が計上した退職給付費用は、法人税法上の損金算入要件である「債務の確定」が認められない
- 法人税法上の固定資産の概念は、公益法人会計基準を参考とすべきではない
- 控訴棄却

### 事案の概要
**当事者関係**
- 控訴人：熊本市の受注事業を行う財団法人
- 被控訴人：熊本東税務署長

**経緯**
- 控訴人は熊本市から外郭団体助成条例に基づく助成金2,319万円を受給
- 控訴人は職員の一部に対する退職給付費用2,765万円のうち収益事業に係る金額2,738万円を損金算入
- 税務署長は、退職給付費用は債務が確定していないとして更正処分及び過少申告加算税賦課決定処分
- 原審は控訴人の請求を棄却

**金額等**
- 対象事業年度：平成20年4月1日〜平成21年3月31日
- 本件助成金：2,319万7,000円
- 本件退職給付費用：2,765万4,000円
- 本件費用（収益事業に係る金額）：2,738万0,225円

### 争点
1. 本件費用が損金の額に算入されるか（債務確定の有無）

### 裁判所の判断
**債務確定の要件について**
- 法人税法22条3項2号は、償却費以外の費用で事業年度終了日までに債務の確定しないものを損金の額に算入しないと規定
- 退職給付費用は、将来の退職時に支払われるものであり、各事業年度終了時点で債務が確定しているとはいえない
- 公益法人会計基準における「引当資産」の概念は、法人税法上の損金算入要件とは異なる

**法人税法上の固定資産の概念について**
- 法人税法及び同法施行令において固定資産の概念は明確に定められている
- 公益法人会計基準を参考とすべき余地はない

### 条文・通達の解説
- **法人税法22条3項2号**：損金の額に算入すべき費用（債務確定要件）
- **法人税法施行令72条**：債務確定の判定基準

---
