# batch-178

---

## 12550: 各法人税更正処分取消等請求控訴事件

**東京高等裁判所 平成26年10月22日判決 | 控訴棄却（課税庁勝訴）**

### 結論
- 取引相場のない株式の価額は、法人税通達及び評価通達の定めに従って算定するのが相当
- 本件建物について評価通達の定めによる固定資産税評価額に基づく評価が適正
- 本件各更正処分等は適法

### 事案の概要
**当事者関係**
- 控訴人：4社の法人（いずれも株式会社E（本件会社）の株式を譲り受けた）
- 本件会社：取引相場のない株式会社
- 本件建物：本件会社が所有する建物（バブル期に建築、m駅前地区所在）

**経緯**
- 控訴人らは平成18年3月24日に本件株式を1株当たり5万円で譲り受け
- 各税務署長は、譲受けは時価より低い価額によるものであり、時価と譲受価格の差額が受贈益（益金）に当たるとして更正処分
- 本件株式の時価算定において、本件建物の評価が争点

**金額等**
- 本件株式の時価（被告主張）：1株当たり6万2,762円
- 本件建物の評価額（被告主張）：12億3,459万8,077円（固定資産税評価額による）
- 本件建物の評価額（控訴人主張）：3億6,400万円（不動産鑑定評価額による）

### 争点
1. 本件株式の時価（本件建物の評価方法）
2. 評価通達によらず個別評価すべきか

### 裁判所の判断
**評価通達の合理性について**
- 「課税対象となる財産は多種多様であり、客観的な交換価値が一義的に確定されるものではないから、法人税において資産を評価する際も、法人税通達及び評価通達に定められた評価方法によって算定すべき」
- 「このような画一的取扱いは、納税者間の公平という観点からも合理的」
- 「通達の定めが租税法規に照らして合理性を有する限り、当該通達の定めに従って租税法規を解釈適用するのが相当」

**本件建物の評価について**
- 「法人税通達9-1-14(2)が、土地と有価証券に関して条件を付する趣旨は、土地については、一般の市場価額と相続税評価額による土地評価額との間に開きがあることがあるからであり」「建物については、上記の趣旨が妥当するとはいえない」
- 「固定資産評価基準によれば、固定資産税評価額の算定において物価水準の変動が反映されている」
- 「本件建物に係る固定資産税評価額の算定において、所定の補正がされている」
- 「不動産の価格の形成においては種々の要因があり、通常取引される場合に成立する取引価額が時価であるとはいえず」、不動産鑑定評価額によるべきではない

### 条文・通達の解説
- **法人税法22条2項**：益金の額に算入すべき金額（無償による資産の譲受けによる収益等）
- **法人税基本通達9-1-13、9-1-14**：上場有価証券等以外の株式の価額
- **財産評価基本通達89**：家屋の評価（固定資産税評価額に倍率1.0を乗じる）
- **固定資産評価基準**：再建築費評点数に経過年数に応ずる減点補正率を乗じて評価

---

## 12556: 贈与税決定処分取消等請求事件

**東京地方裁判所 平成26年10月29日判決 | 請求棄却（課税庁勝訴）**

### 結論
- 同族会社に対する時価より著しく低い価額での財産譲渡により、株式の価額が増加した場合、株主は相続税法9条により利益を贈与により取得したものとみなされる
- 本件Ｃ出資の時価は評価通達に基づき1口当たり8万1,204円
- 本件決定処分等及び本件更正処分等はいずれも適法

### 事案の概要
**当事者関係**
- 原告m：r株式会社及びｔ合名会社の株主・社員、Ｃの代表者
- 原告n：原告mの子、r及びｔ合名の株主・社員
- q：原告mの母、Ｃの持分保有者（譲渡人）
- Ｃ：不動産賃貸を目的とする有限会社、rの株式200万株を保有
- r：Ⓐの卸売等を目的とする株式会社（同族会社）

**経緯**
- qは平成17年3月31日にＣの持分をr及びｔ合名に対し1口当たり3万9,235円で譲渡
- 芝税務署長は、当該譲渡が時価より著しく低い価額でされたものとして、相続税法9条を適用
- r及びｔ合名の株式・持分の価額増加分について、原告らにみなし贈与課税

**金額等**
- 本件Ｃ出資の譲渡価額：1口当たり3万9,235円
- 本件Ｃ出資の時価（被告主張）：1口当たり8万1,204円
- 本件13社による譲渡価額：1口当たり5,000円

### 争点
1. 相続税法9条の適用可否
2. 本件Ｃ出資の時価
3. 株式保有特定会社通達の適用可否
4. 評価通達185ただし書（20%評価減）の適用可否

### 裁判所の判断
**相続税法9条の適用について**
- 「同族会社に対する時価より著しく低い価額の対価での財産の譲渡がされるときには、当該譲渡をした者と当該会社ひいてはその株主又は社員との間にそのような譲渡がされるのに対応した相応の特別の関係があることが一般」
- 「当該譲渡により譲渡を受けた当該会社の資産の価額が増加した場合には、当該会社の株主又は社員は、その株式又は出資の価額が増加することにより、実質的にみて、当該譲渡をした者から、その増加した部分に相当する金額を贈与により取得したものとみることができる」

**株式保有特定会社該当性について**
- Ｃの株式保有割合は98.4%であり、株式保有特定会社に該当
- 本件Ｃ出資の価額は純資産価額方式又は「Ｓ1＋Ｓ2」方式により評価

**評価通達185ただし書について**
- Ｃは「原告ｍ及びその同族関係者によって実質的に支配されていた」
- 単独のグループの保有する株式数だけでは会社を完全に支配することができない場合に評価減を行う趣旨に照らし、20%評価減の適用は認められない

### 条文・通達の解説
- **相続税法9条**：みなし贈与（対価を支払わないで、又は著しく低い価額の対価で利益を受けた場合）
- **相続税法22条**：贈与により取得した財産の価額は取得時の時価による
- **財産評価基本通達189(2)**：株式保有特定会社の株式の評価
- **財産評価基本通達185ただし書**：議決権割合50%以下の場合の20%評価減
- **相続税法基本通達9-2(4)**：同族会社への低額譲渡によるみなし贈与

---

## 12561: 贈与税更正処分等取消請求事件

**札幌地方裁判所 平成26年10月31日判決 | 請求棄却（課税庁勝訴）**

### 結論
