# batch-187

---

## 12606: 法人税更正処分取消請求事件

**東京地方裁判所 平成27年2月24日判決 | 請求棄却（課税庁勝訴）**

### 結論
- 完全子会社に対する債権放棄は法人税法37条の「寄附金の額」に該当する
- 本件債権放棄は子会社の倒産防止のためにやむを得ず行われたものとは認められない
- 更正通知書の理由付記に不備はない

### 事案の概要
**当事者関係**
- 原告：タクシー事業を営む法人
- 本件子会社：原告の完全子会社（自動車整備事業等）

**経緯**
- 本件子会社は帳簿上約9億3288万円の債務超過（ただし含み益のある不動産を保有）
- 原告は本件子会社に対する未収債権約12億5000万円を有していた
- 原告は金融機関からのシンジケート・ローン（107億6000万円）を締結
- 監査法人から貸倒引当金の全額計上を指摘されたことを契機に、平成22年3月に債権放棄を決議
- 原告は債権放棄額を損金算入せず、売上・雑収入から直接減額する経理処理を実施

**金額等**
- 本件債権放棄額：本件事業年度において約11億円
- 寄附金損金不算入額：約10億9800万円

### 争点
1. 更正処分における理由付記の不備の有無
2. 債権放棄額の法人税法37条「寄附金の額」該当性
3. 地代の損金算入の可否
4. 本件事業年度における債権放棄額

### 裁判所の判断
**理由付記について**
- 本件更正通知書の記載は、処分庁の判断過程を省略することなく記載しており、理由付記に不備はない
- 基本通達9-4-2の文言の一部を抜き出した記載であっても、判断過程が読み取れれば足りる

**寄附金該当性について**
- 本件子会社は含み益のある不動産（共有持分）を有しており、実質的には債務超過ではなかった
- 金融機関からの借入れがなく、資金繰りがひっ迫していたとは認められない
- 本件債権放棄は、子会社の倒産防止のためではなく、原告自身の貸倒引当金計上回避を目的としたもの
- 本件子会社の再建計画は必要最低限の支援ではなく、過剰な支援である
- 代物弁済等の他の手段を十分検討せずに債権放棄を行った

### 条文・通達の解説
- **法人税法37条7項**：寄附金の定義（金銭その他の資産又は経済的な利益の贈与又は無償の供与）
- **法人税法130条2項**：青色申告書に係る更正における理由付記の義務
- **法人税基本通達9-4-2**：子会社等を整理する場合の損失負担等（相当な理由がある場合は寄附金に該当しない）

---

## 12612: 法人税更正処分取消等請求控訴事件

**東京高等裁判所 平成27年2月25日判決 | 控訴棄却（課税庁勝訴）**

### 結論
- ケイマン法人は租税特別措置法66条の6の「特定外国子会社等」に該当する
- 特定外国子会社等の国内源泉所得も課税対象留保金額に含まれる
- 措置令39条の14第1項1号は委任の範囲内で有効
- 外国税額控除の手続要件を満たしていない場合は控除不可

### 事案の概要
**当事者関係**
- 控訴人：持株会社（平成20年12月期から連結納税）
- 被合併法人B社：控訴人に吸収合併された
- C社：B社の100%子会社であるケイマン法人（日本国内に支店を有する1号外国法人）

**経緯**
- B社はC社が特定外国子会社等に該当するとして確定申告
- その後、C社が特定外国子会社等に該当しなかったとして更正の請求
- 税務署長は更正すべき理由がない旨の通知処分及び更正処分等を実施
- 控訴人は、C社の国内源泉所得は課税対象留保金額に含まれないと主張

**金額等**
- C社が納付した法人税等：約178億円
- 課税対象留保金額に係る益金算入額：問題となった金額

### 争点
1. 措置令39条の14第1項1号の委任の範囲逸脱・無効
2. 特定外国子会社等の国内源泉所得が課税対象留保金額に含まれるか
3. 外国子会社合算税制による国内的二重課税の調整

### 裁判所の判断
**特定外国子会社等該当性**
- ケイマンは国際海運業務に係る所得を免税としており、C社は特定外国子会社等に該当
- 措置令39条の14第1項1号は措置法の委任の範囲内で有効

**国内源泉所得の取扱い**
- 外国子会社合算税制の外国税額控除（措置法66条の7）の趣旨に照らし、当該規定は特定外国子会社等に課された我が国の法人税額についても外国法人税額と同様に控除することを内容とするものと解すべき（当然解釈）
- 措置法通達66の6-20は上記趣旨を確認的に明らかにしたもの

**手続要件**
- 控訴人は確定申告において「控除を受けるべき金額及びその計算に関する明細の記載」及び「控除対象外国法人税の額を課されたことを証する書類」の添付をしていない
- したがって、外国税額控除の適用を受けることはできない

### 条文・通達の解説
- **租税特別措置法66条の6**：外国子会社合算税制（タックス・ヘイブン対策税制）
- **租税特別措置法66条の7**：外国子会社合算税制に係る外国税額控除
- **法人税法69条16項**：外国税額控除の手続要件（確定申告書への記載・書類添付）
