# batch-188

---

## 12615: 法人税及び源泉所得税処分取消等請求上告事件

**最高裁判所 平成27年2月27日判決 | 上告棄却（課税庁勝訴）**

### 結論
- 上告を棄却する
- 上告費用は上告人の負担とする

### 事案の概要
**当事者関係**
- 上告人：法人税及び源泉所得税の処分取消しを求める納税者

**経緯**
- 原審（控訴審）において納税者敗訴
- 納税者が最高裁に上告

### 争点
- 上告の理由が民訴法312条1項又は2項所定の事由に該当するか

### 裁判所の判断
- 民事事件について最高裁判所に上告をすることが許されるのは民訴法312条1項又は2項所定の場合に限られる
- 本件上告の理由は、理由の不備・食違いをいうが、その実質は事実誤認又は単なる法令違反を主張するものである
- 明らかに上記各項に規定する事由に該当しない
- よって上告を棄却する

### 条文・通達の解説
- **民事訴訟法312条1項・2項**：最高裁判所への上告理由（憲法違反、判決に影響を及ぼすことが明らかな法令違反等）

---

## 12616: 法人税の更正処分取消請求事件

**那覇地方裁判所 平成27年3月3日判決 | 請求棄却（課税庁勝訴）**

### 結論
- 中古建物の耐用年数を法定耐用年数から見積耐用年数に変更することはできない
- 信義則の適用を認める特別の事情も認められない
- 原告の請求を棄却する

### 事案の概要
**当事者関係**
- 原告：不動産賃貸業を営む法人
- 処分行政庁：北那覇税務署長

**経緯**
- 原告は中古で取得した建物について、当初は新築建物に係る法定耐用年数（39年）を適用して減価償却費の計算をしていた
- 平成24年3月期になって、中古資産に係る見積耐用年数に短縮して減価償却費の計算を行った
- 処分行政庁は、耐用年数には誤りがあるとして、平成24年12月25日付けで更正処分及び過少申告加算税の賦課決定処分を実施

**金額等**
- 対象事業年度：平成20年3月期、平成21年3月期、平成23年3月期、平成24年3月期

### 争点
1. 中古建物について、いったん法定耐用年数を適用した後に、見積耐用年数に変更できるか
2. 税務相談室や統括国税調査官の回答に基づく信義則の適用の可否

### 裁判所の判断
**耐用年数の変更について**
- 法人税法施行令56条及び耐用年数省令1条1項1号は、中古資産であっても法定耐用年数によることを原則としている
- 耐用年数省令3条1項は、中古資産の耐用年数について例外的に見積耐用年数によることができる旨を規定
- しかし、この規定は、減価償却資産を取得し事業の用に供した後の事業年度において、耐用年数を任意に変更することを認めたものとは解されない
- 法人税法施行令57条は、一定の事由がある場合に限り、所轄国税局長の承認を受けて耐用年数を短縮することを認めている
- いったん法定耐用年数によって減価償却費の計算をした中古資産について、後になって見積耐用年数を適用して申告し直すことはできない

**信義則について**
- 租税法律主義の原則が貫かれるべき租税法律関係においては、信義則の法理の適用については慎重でなければならない
