# batch-192

---

## 12657: 法人税更正処分取消等請求事件

**東京地方裁判所 平成27年4月24日判決 | 取消（請求棄却・納税者敗訴）**

### 結論
- 原告（法人）の請求をいずれも棄却
- 子会社に対する債権放棄は寄附金に該当し、損金算入限度額を超える部分は損金不算入
- 消費税法上の貸倒れにも該当せず、仕入税額控除は認められない

### 事案の概要
**当事者関係**
- 原告：一般商品の輸出入売買等を目的とする法人（資本金6000万円）
- 子会社C（有限会社）：原告が52%出資する輸入代行業法人
- 子会社D（有限会社）：原告が全額出資で設立した輸入品販売法人

**経緯**
- 原告は子会社Cに対し約6177万円の債権を有していた
- Dの設立後、原告・D・Cの間で債権回収取引を実施
- 結果としてDがCに対する債権（約1億2818万円）を保有することになった
- DはCに対する債権を複数回にわたり放棄
- 原告もDに対する債権を同日付で放棄（平成14年〜20年、計11回）
- 原告は債権放棄額を貸倒損失として損金算入して確定申告
- 課税庁は寄附金と認定し、本件各法人税更正処分等及び消費税等更正処分等を行った

**金額等**
- 平成18年3月期〜平成22年3月期の法人税更正処分
- 平成20年3月課税期間・平成21年3月課税期間の消費税等更正処分
- 過少申告加算税の賦課決定処分

### 争点
1. 本件各債権放棄の額は法人税法37条の寄附金の額に該当するか
2. 本件各債権放棄に係る消費税額は消費税法39条の貸倒れに係る消費税額として控除できるか

### 裁判所の判断
**争点1（寄附金該当性）について**
- 法人税法37条の寄附金の損金不算入制度の趣旨は、寄附金の全額損金算入を認めると国の財政収入確保を阻害し、課税の公平上不適当であることから是正するもの
- 同条の寄附金は、民法上の贈与に限らず、経済的にみて贈与と同視し得る資産の譲渡又は利益の供与であれば足りる
- 回収可能な債権の放棄は原則として寄附金に該当する
- ただし、業績不振の子会社等の倒産防止のためにやむを得ず行う場合で経済的合理性がある場合は、損金算入が認められる（基本通達9-4-2）
- 本件では、Dに対する支援はCの経営を支えるために必要かつ合理的であったとは認められない
- したがって、本件各債権放棄の額は寄附金に該当する

**争点2（消費税の貸倒れ該当性）について**
- 消費税法39条の貸倒れに該当するには、売掛金等が法的又は経済的に回収不能であることが必要
- 本件債権放棄は、Dの経営支援のために行われたもので、法的・経済的な回収不能を理由とするものではない
- したがって、貸倒れには該当せず、消費税額の控除は認められない

### 条文・通達の解説
- **法人税法37条（寄附金の損金不算入）**：法人が支出した寄附金について、損金算入限度額を超える部分は損金不算入とする規定。寄附金には経済的にみて贈与と同視し得る資産の譲渡・利益の供与が含まれる。
- **基本通達9-4-2（子会社等を整理する場合の損失負担等）**：子会社等の倒産防止のための債権放棄等について、損失負担の必要性及び再建計画の合理性が認められる場合は寄附金に該当しないとする取扱い。
- **消費税法39条（貸倒れに係る消費税額の控除等）**：売掛金等が貸し倒れた場合、その税額を控除できる規定。法的・経済的な回収不能が要件。
- **国税通則法65条（過少申告加算税）**：過少申告に対する加算税の規定。

---

## 12659: 法人税更正処分等取消請求控訴事件

**東京高等裁判所 平成27年5月13日判決 | 取消（控訴棄却・納税者勝訴維持）**

### 結論
- 国（控訴人）の控訴を棄却
- 原審判決を維持し、課税庁の更正処分等は違法
- マナウス税恩典利益の影響を考慮せずに残余利益分割法を適用した独立企業間価格の算定は誤り

### 事案の概要
**当事者関係**
- 被控訴人（原審原告）：自動二輪車及び四輪車の製造販売を主たる事業とする内国法人（ホンダ）
- B社：被控訴人の間接子会社で、ブラジルのマナウス自由貿易地域（マナウスフリーゾーン）で自動二輪車の製造販売を行う外国法人

**経緯**
- 被控訴人はB社等との間で自動二輪車部品等の販売及び技術支援の役務提供取引（本件国外関連取引）を実施
- 被控訴人は取引対価を収益に算入して平成10年3月期〜平成15年3月期の法人税確定申告を行った
- 課税庁は、取引対価が残余利益分割法により算定した独立企業間価格に満たないとして、移転価格税制に基づく更正処分等を行った
- 更正処分額は数百億円規模の巨額

**金額等**
- 平成10年3月期：納付すべき税額約508億円超とする更正処分
- 平成11年3月期：納付すべき税額約485億円超とする更正処分
- 平成13年3月期・平成14年3月期・平成15年3月期についても同様の更正処分

### 争点
