# batch-193

---

## 12669: 所得税更正処分等取消請求事件

**東京地方裁判所 平成27年5月26日判決 | 請求棄却（課税庁勝訴）**

### 結論
- 医療法人理事長が法人から低利で借入れた金員に係る経済的利益は、給与所得に該当する
- 過少申告加算税賦課決定処分も適法

### 事案の概要
**当事者関係**
- 原告：医療法人社団Aの理事長（平成5年設立時から継続）
- A：医療法人社団（原告が理事長）

**経緯**
- 原告はAから金銭を借り入れ、その利息を年0.01%～2.0%の低利率で計上
- 処分行政庁は、通常支払うべき利息相当額（基本通達36-49による4.1%～4.5%）と実際の受取利息額との差額を経済的利益と認定
- 平成20年分～平成22年分の所得税について、経済的利益の額を原告の給与所得に加算して更正処分

**金額等**
- 本件経済的利益の額：平成20年分4,317万円、平成21年分3,902万円、平成22年分2,008万円
- 過少申告加算税：平成20年分33万円、平成21年分26万4,000円、平成22年分21万3,000円

### 争点
1. 本件各更正処分等は処分行政庁の調査に基づいて行われたものか否か
2. 有価証券が原告に帰属するか、法人に帰属するか
3. 本件借入金の額は未払給与等債務額を減額した額とすべきか
4. 利息相当額の算定は基本通達36-49後段の利率によるべきか
5. 経済的利益は必要経費に算入すべきか

### 裁判所の判断
**争点1について**
- 課税庁は必要な範囲で調査すれば足り、納税義務者に対して直接質問調査をする義務を当然に負うものではない
- 内部調査に基づく更正処分も適法

**争点2について**
- 原告名義の証券口座で取得・保有され、Aが購入資金を拠出した事実は認められない
- 有価証券は原告に帰属すると認定

**争点3について**
- 未払給与等債務額と貸付金は、実際に相殺等の経理処理が行われるまでは別個独立の債権債務として存在
- 事前の相殺合意についての主張立証もない

**争点4について**
- 基本通達36-49の定めは、納税者の予測可能性の向上、公平、便宜、徴税費用の節減から合理的
- 特例基準割合（4.1%～4.5%）による評価は妥当

**争点5について**
- 借入金の使途について具体的な主張立証がなく、必要経費には算入されない

### 条文・通達の解説
- **所得税法28条1項**：給与所得の定義
- **所得税法36条1項**：収入金額（経済的利益を含む）
- **所得税基本通達36-15**：無利息・低利貸付けによる利息相当額の経済的利益
- **所得税基本通達36-28**：合理的な貸付利率の場合の課税しない取扱い
- **所得税基本通達36-49**：利息相当額の評価方法（商業手形の基準割引率＋4%）

---

## 12675: 消費税及び地方消費税更正処分等取消請求事件

**松山地方裁判所 平成27年6月9日判決 | 請求棄却（課税庁勝訴）**

### 結論
- 診療所用建物の賃貸借は法人税法64条の2第1項のリース取引（売買があったものとされるリース取引）に該当しない
- 中途解約条項が存在し、事実上解約不能とはいえない

### 事案の概要
**当事者関係**
- 原告：医療法人（平成22年3月設立、青色申告法人）
- B社：医薬品販売・医療機関コンサルティング会社（賃貸人）

**経緯**
- 原告はB社から診療所用建物（本件建物）を賃借（賃貸借期間20年16日、月額賃料520万円）
- 原告は本件賃貸借をリース取引に該当するとして、リース料総額を課税仕入として消費税の仕入税額控除を請求
- 処分行政庁は、リース取引に該当しないとして更正処分

**金額等**
- 賃貸借期間：平成22年7月15日から平成42年7月31日まで
- 月額賃料：520万円（消費税別）
- 中途解約違約金：5年未満4億900万円、5年以上10年未満2億8,890万円、10年以上15年未満1億6,850万円、15年以上4,800万円

### 争点
1. 更正通知書の理由付記に不備があるか（法人税法130条2項）
2. 本件建物賃貸借は法人税法64条の2第1項のリース取引に該当するか

### 裁判所の判断
**争点1について**
- 中途解約不能要件該当性の判断基準となる事実関係は、納税者において把握可能
- 否認対象の賃貸借契約が特定され、中途解約不能要件に該当しないとの更正理由が記載されていれば足りる
- 本件付記理由は法130条2項の要求する理由付記として欠けるものではない

**争点2について**
- 中途解約不能要件（法64条の2第3項1号）：「賃貸借期間の中途においてその解除をすることができないもの又はこれに準ずるもの」
- 本件中途解約条項は、解約権行使の条件を具体的かつ明確に定めており、事実上解約不能とは認められない
- 違約金が未経過期間のリース料の90%以上である場合に「準ずるもの」に該当するが、本件は50%程度以下であり基準を満たさない
- B社も建築コスト回収を目的として違約金を設定しており、事実上行使不能な解約権とは認識していなかった

### 条文・通達の解説
- **法人税法64条の2第1項**：リース取引による売買擬制
- **法人税法64条の2第3項1号**：中途解約不能要件（解除不能またはこれに準ずるもの）
- **法人税法64条の2第3項2号**：フルペイアウト要件
- **法人税法130条2項**：青色申告の更正の場合の理由付記
- **法人税基本通達12章の5-1-1(1)**：「準ずるもの」の例示（違約金が未経過期間リース料の90%以上）

---

## 12676: 法人税等更正処分等取消請求上告及び上告受理申立て事件

**最高裁判所 平成27年6月9日判決 | 上告棄却・不受理**

### 結論
- 上告棄却
- 上告審として受理しない
- 上告費用及び申立費用は上告人兼申立人の負担

### 事案の概要
- 法人税等の更正処分等の取消請求に係る上告及び上告受理申立て事件
- 原審判決に対する不服申立て

### 裁判所の判断
**上告について**
- 民事事件について最高裁判所に上告をすることが許されるのは民訴法312条1項又は2項所定の場合に限られる
- 本件上告の理由は、理由の不備・食違いをいうが、その実質は事実誤認又は単なる法令違反を主張するもの
- 上記各項に規定する事由に該当しない

**上告受理申立てについて**
- 本件申立ての理由によれば、民訴法318条1項により受理すべきものとは認められない

### 条文・通達の解説
- **民事訴訟法312条1項・2項**：上告理由（憲法違反、重大な手続違反等）
- **民事訴訟法318条1項**：上告受理の申立て（法令解釈に関する重要な事項を含む場合）

---
