# batch-194

---

## 12684: 法人税更正処分等取消請求上告受理事件

**最高裁判所 平成27年6月25日決定 | 不受理**

### 結論
- 上告審として受理しない
- 申立費用は申立人の負担

### 事案の概要
- 法人税更正処分等の取消請求に係る上告受理申立て事件
- 原審判決に対する不服申立て

### 裁判所の判断
- 本件申立ての理由によれば、民訴法318条1項により受理すべきものとは認められない

### 条文・通達の解説
- **民事訴訟法318条1項**：上告受理の申立て（法令解釈に関する重要な事項を含む場合）

---

## 12692: 不当税金国家賠償請求控訴事件

**名古屋高等裁判所金沢支部 平成27年7月8日判決 | 控訴棄却（課税庁勝訴）**

### 結論
- 役員報酬の課税に関する国家賠償請求は理由がない
- 税務署長が仕入計上漏れを指摘しなかったことによる損害賠償請求を棄却
- 弁護費用の支払請求に係る訴えは不適法として却下

### 事案の概要
**当事者関係**
- 控訴人甲・控訴人乙：株式会社Aの役員
- 被控訴人：国
- 株式会社A：控訴人らが役員を務める法人

**経緯**
- 控訴人らは、法人の法人税申告について金沢税務署長が仕入計上漏れを指摘しなかったため、過大な役員報酬を受け取ることになり、多額の所得税を課されて損害を被ったと主張
- 平成2年2月期及び平成3年2月期の役員報酬について国家賠償請求

**金額等**
- 控訴人甲の請求額：2250万円（所得税相当額）
- 控訴人乙の請求額：524万800円（所得税相当額）
- 役員報酬額（控訴人甲）：平成2年2月期3535万円、平成3年2月期3440万円
- 役員報酬額（控訴人乙）：平成2年2月期1444万円、平成3年2月期1692万円

### 争点
1. 税務署長が仕入計上漏れを指摘しなかったことが国家賠償法上の違法行為に該当するか
2. 弁護費用請求の適法性

### 裁判所の判断
**争点1について**
- 仕入の計上漏れといった事実は外部からは容易に判明し難く、納税の申告をする者が自ら精査して訂正すべき事柄
- 控訴人らが主張するように本件法人から現に役員報酬を受領し、これに相応する所得税を申告納税したのであるから、当該課税は何ら違法ではない
- 職務上通常尽くすべき注意義務違反は認められない

**争点2について**
- 弁護費用の支払を求める請求は金額が特定されていないから不適法
- 被控訴人の答弁書において既に指摘されているため、改めて補正を命ずる必要はない

### 条文・通達の解説
- **国家賠償法1条1項**：公務員の違法行為による損害賠償
- **所得税法28条**：給与所得

---

## 12698: 法人税更正処分等取消請求控訴事件

**東京高等裁判所 平成27年7月16日判決 | 控訴棄却（課税庁勝訴）**

### 結論
- 創業者配偶者への給与は寄附金に該当
- 上場株式の時価は証券取引所の終値による
- D銀行株式の譲渡差額・譲受差額に係る寄附金認定及び受贈益課税は適法

### 事案の概要
**当事者関係**
- 控訴人：法人（株式会社）
- 乙：控訴人の創業者の配偶者
- C：D銀行株式の譲渡先グループ会社
- G：D銀行株式の譲受先グループ会社

**経緯**
- 控訴人は、創業者配偶者である乙への給与、固定資産税等の損金算入時期、上場株式（D銀行株式）の譲渡差額・譲受差額について争い
- 税務署長は、乙への給与は寄附金に該当、株式譲渡差額は寄附金認定、株式譲受差額は受贈益として更正処分

**金額等**
- 対象事業年度：平成18年3月期～平成22年3月期
- D銀行株式譲受け：42万2500株を1株661円で譲受け（平成19年9月29日）
- D銀行株式譲渡：グループ会社への譲渡

### 争点
1. 平成21年3月期減額更正処分の取消しを求める訴えの適法性
2. 減額更正処分の義務付けを求める訴えの適法性
3. 乙への本件金員の寄附金該当性
4. D銀行株式譲渡差額の寄附金認定の適法性
5. D銀行株式譲受差額の受贈益課税の適法性

### 裁判所の判断
**争点1・2について**
- 減額更正処分は確定申告により確定した納付義務の一部を排除する効力を有する処分であり、控訴人にとって有利な処分
- 連年同時更正に伴う減算項目について通則法23条1項による更正の請求が不可能であったとはいえない
- 訴えの利益なし、または不適法として却下

**争点3について**
- 本件金員は、乙が控訴人の象徴的存在・立場にあるとしても、控訴人が乙の当該地位を業務に関連づけて利用等していることを窺わせる証拠はない
- 対価性を有するものとは解し難く、法人税法37条にいう寄附金に該当

**争点4・5について**
- 上場株式の時価について、特段の事情のない限り、証券取引所の取引日の終値をもって時価とするのが相当
- 本件D銀行株式取引は控訴人とグループ会社間の非公開の相対取引であり、市場における取引価格に影響を与えるおそれを考慮する必要は考えにくい
- 流動性リスク、ディスカウントTOB価格、ダークプール取引価格等を考慮すべきとの控訴人の主張は採用できない
- D銀行の経営状態悪化は一般に知り得る事情であり、取引市場における株価形成過程において織り込み済み

### 条文・通達の解説
- **法人税法37条7項・8項**：寄附金の定義（資産の譲渡の時における価額）
- **法人税法61条の2第1項1号**：有価証券の譲渡に係る対価の額
- **国税通則法23条**：更正の請求
- **国税通則法65条4項**：正当な理由がある場合の過少申告加算税の不適用
- **法人税法80条の2**：後発的事由に基づく更正の請求の特例

---
