# batch-207

---

## 13090: 法人税更正処分取消請求事件（東京地裁 2017-11-24）

### 結論
- 主文は請求棄却（納税者敗訴）。
- 移転価格税制（旧租税特別措置法66条の4）に基づく所得加算の適否に加え、手続面として「申告額以下の取消しを求める訴えの適法性（更正の請求との関係）」「相互協議（MAP）合意・確認書面と訴えの利益/信義則」が争われた。

### 事案（骨子）
- 国内法人が、国外関連者（海外子会社等）に対して、めっき薬品の製造・販売に係る技術/ノウハウ等の無形資産の使用許諾および役務提供を行い、対価を受領していた。
- 税務署長は、利益分割法（残余利益分割法に類する方法）等で独立企業間価格を算定し、複数期（平成12年3月期〜平成16年3月期）の所得を加算して更正処分・過少申告加算税賦課決定処分を行った。
- 納税者は、方法選択（残余利益分割法相当の手法の採用）や比較対象取引の同等性、算定過程の誤り等を理由に、処分の取消しを求めた。

### 判断（ポイント）
- 申告納税方式の下で、納税者が自己申告額以下の部分まで取消しを求める場合、原則として通則法23条の更正の請求による救済が予定されることを前提に、訴えの利益の有無が整理された。
- MAP合意に際して提出された確認書面等の射程については、合意の対象・対象外を切り分け、対象外部分まで当然に権利放棄したとはいえない旨を含めて検討枠組みを示した。
- その上で、本件国外関連取引に係る独立企業間価格の算定について、納税者側主張を採用せず、更正処分等を違法とまではいえないとして請求を棄却した。

### 実務メモ
- MAP合意（同意書面を含む）と国内訴訟の関係は、「何について合意したか」「どこまで争わない約束か」を対象取引単位で切り分けないと、訴えの利益/信義則で思わぬ争点になり得る。
- 移転価格は、方法選択（なぜその方法か）と比較対象（なぜその取引か）と計算（調整・パラメータ）を“セット”で崩されにくい形にするのが重要。

---

## 13095: 法人税更正処分取消請求事件（東京地裁 2017-12-06）

### 結論
- 法人税更正処分の一部取消（納税者勝訴）。
- 外国子会社から受けた剰余金の配当が「資本剰余金原資部分」と「利益剰余金原資部分」に分かれる場合の税務上の整理（法23/24と政令の計算規定の関係）が核心。

### 事案（骨子）
- 連結納税下で、外国子会社から、資本剰余金および利益剰余金をそれぞれ原資とする剰余金の配当を受領した（効力発生日は同一）。
- 納税者は、資本剰余金原資の配当を法人税法24条1項3号（資本の払戻し）として、利益剰余金原資の配当を同法23条1項1号（受取配当等の益金不算入）として申告した。
- 税務署長は、効力発生日が同一であること等を理由に、配当全体を法24条の資本払戻しに当たる等として更正し、連結欠損金額を減額した。

### 判断（ポイント）
- 法23条1項1号は、文理上「利益剰余金のみ」を原資とする剰余金の配当を指すと解釈した。
- その上で、資本剰余金と利益剰余金が混在する配当をどのように扱うかにつき、法24条の委任を受けた政令の計算方法が、場合によっては法の委任範囲を逸脱し得ることを前提に検討した。
- 具体的には、政令計算の結果として、利益剰余金原資部分が「株式又は出資に対応する部分の金額」に取り込まれて二重課税回避の趣旨と齟齬を生む局面では、その限度で政令規定は無効になり得るとし、当該更正処分の争われた部分を違法として取消した。

### 実務メモ
- 配当原資が混在する場面では、法23/24の“概念整理”だけでなく、政令の計算式がどのような結果を生むかが結論を左右する（委任逸脱・無効の射程を含む）。
- 効力発生日が同一でも、原資区分（資本/利益）を前提に課税関係を組み立てるロジックが取れるか（そして政令計算が法の趣旨と整合するか）が争点化し得る。

---

## 13107: 通知処分取消等請求事件（大阪地裁 2018-01-15）

### 結論
- 更正の請求に対する「更正すべき理由がない旨の通知」取消請求は棄却（納税者敗訴）。
- 制限利率超過利息を益金算入していた過年度について、後日、破産手続で過払金返還請求権が破産債権として確定（判決同一効力）したこと等を“後発事由”として遡及更正できるかが争われた。

### 事案（骨子）
- 破産会社は、利息制限法所定の制限利率を超える利息・遅延損害金（制限超過利息）を受領し、約定利息として益金算入して法人税申告をしていた。
- その後、破産手続において過払金返還請求権が破産債権として確定し、破産管財人が通則法23条2項1号等を根拠に過年度の更正の請求を行ったが、税務署長は更正すべき理由なしと通知した。

### 判断（ポイント）
- 通則法23条2項は、後発事由が生じた場合の期間特例であり、申告者が2項により更正を求める場合でも、結局は1項各号所定の事由（法令に従っていない計算/計算誤り等）を満たす必要があると整理した。
- 法人税法22条（益金/損金、期間損益、公正処理基準）を前提に、取引が私法上無効となり不当利得返還義務が生じ得るとしても、現実に約定利息として受領し処理している限り、受領時点の収益は益金に該当し課税対象となるとした。
- 破産債権者表による返還義務の確定や配当の実施は、過年度益金が「過大」だったことを基礎付けるものではなく、通則法23条1項1号等の事由に当たらないとして、通知処分の適法性を肯定した。

### 実務メモ
- 「後から返すことになった」ことと「過年度の益金が誤っていた」ことは直結しない。更正の請求の成立は、通則法23条1項の枠組み（誤りの性質）と、法人税法22条の期間損益（損失・負債の認識時期）との接続で詰める必要がある。

