# batch-208

---

## 12753: 青色取消処分取消等請求控訴事件（東京高裁 2015-11-18）

### 結論
- 控訴棄却（納税者敗訴）。
- 帳簿提示拒否を理由とする青色申告承認取消処分（法人税法127条）と、それに付随する寄附金認定（低額譲渡）・過少申告加算税の適否が争われた。

### 事案（骨子）
- 税務調査で特定年度の帳簿書類の提示を求められたが、納税者が提示しなかったとして、当該年度以降の青色申告承認が取り消された。
- その後（又は併せて）、グループ会社への株式譲渡につき、譲渡対価と時価との差額が寄附金に当たる等として、複数年度の更正・再更正および過少申告加算税賦課決定がされた。

### 判断（ポイント）
- 青色申告制度の趣旨（適式帳簿の備付・記録・保存と税務職員の検査）を踏まえ、帳簿提示拒否が法人税法127条1項1号に該当すること、取消しの裁量逸脱・濫用は認められないことを前提に、処分を適法とした。
- 寄附金認定については、有価証券低額譲渡の「対価の額」（法人税法61条の2）を時価と解し、時価と実際の譲渡価額の差額が、合理的理由を欠く経済的利益移転として寄附金（法人税法37条8項）に当たり得る枠組みを整理した上で、課税庁の判断を是認した。
- 過少申告加算税についても、通則法65条4項の「正当な理由」を肯定できないとして、賦課決定の違法は認めなかった。

### 実務メモ
- 青色取消しは「帳簿提示拒否」が刺さると極めて重い。取消しの争いは、理由付記・手続瑕疵だけでなく、取消し相当性（裁量）に関する事実関係の詰めが必要。
- 低額譲渡は、譲渡損益（61条の2）と寄附金（37条）の二段構造で処理されるため、「時価」「合理的理由」「取引実態」の立証が核心。

---

## 12754: 更正処分等取消請求事件（名古屋地裁 2015-11-19）

### 結論
- 請求棄却（納税者敗訴）。
- 貸倒損失の損金算入可否と、更正通知書の理由付記の適否（青色申告）を中心に争われた。

### 事案（骨子）
- 原告は、特定先への貸付金について貸倒損失を計上して損金算入し申告（後に修正申告）した。
- 税務署長は、貸倒損失の計上を否認して更正処分・過少申告加算税賦課決定処分を行い、原告が取消しを求めた。

### 判断（ポイント）
- 金銭債権の貸倒損失を法人税法22条3項3号の損失として損金算入するには、当該債権が「全額回収不能」であることが客観的に明らかである必要があり、債務者側事情に加え、取立コスト・経営上の衡量等も含め社会通念により総合判断すべきとした。
- 本件では、その回収不能性が客観的に明らかとまではいえず、貸倒損失の損金算入は認められないとして更正処分を適法とした。
- 理由付記については、青色申告の保障趣旨（恣意抑制・不服申立て便宜）を踏まえつつ、帳簿記載自体を否認する場合とそうでない場合で要求水準を区別し、本件の理由付記は必要十分で違法はないとした。

### 実務メモ
- 貸倒損失は「回収不能の客観性」がハードル。形式的事情（破産等）だけでなく、回収行動・費用対効果・経営判断の合理性の記録が重要。
- 理由付記は、争点が「帳簿否認」か「法的評価/計上時期」かで要求内容が変わる。

---

## 12756: 法人税更正処分等取消請求事件（東京地裁 2015-11-19）

### 結論
- 請求棄却（納税者敗訴）。
- 上場株式の低額譲渡による譲渡差額（寄附金）と、低額譲受けによる譲受差額（受贈益）の取扱いが争われた。

### 事案（骨子）
- 納税者は、上場株式を取引所終値より低額で譲渡し、譲渡価額と帳簿価額との差額を損金算入して申告していた。
- また、別の上場株式を終値より低額で譲り受けていたところ、税務署長は、低額譲渡差額を寄附金（損金算入限度超過分は損金不算入）とし、低額譲受差額を受贈益として益金算入するなどして更正等を行った。

### 判断（ポイント）
- 有価証券譲渡に係る「対価の額」（法人税法61条の2第1項1号）は、譲渡時点の適正な価額＝時価と解するのが相当とした（上場株式の時価評価の基本線を示す）。
- 低額譲渡差額については、譲渡損失としてそのまま損金算入できるわけではなく、合理的理由を欠く経済的利益移転に当たる限度で寄附金（法人税法37条8項）に含まれると整理し、本件は寄附金該当を肯定した。
- 低額譲受差額についても、時価との差額が経済的利益の無償取得として受贈益に当たり得る枠組みで判断し、課税庁の取扱いを是認した。
- さらに、法人税基本通達の「有利な金額」判定（例：通達2-3-7）を、寄附金該当性の判断にそのまま転用できない旨を明確にし、通達依拠の主張を退けた。

### 実務メモ
- 上場株式の低額譲渡/譲受けは「時価との差額」が起点。寄附金・受贈益の両面で整理されるため、取引の合理性（独立当事者間の条件）を具体的に説明できないと厳しい。
- 通達は“要件”ではなく“運用指針”。条文上の寄附金該当性（37条8項）とは判定枠組みがズレ得る点に注意。

