# batch-209

---

## 12858: 還付金の滞納国税充当処分取消請求控訴事件

**大阪高等裁判所 平成28年5月27日判決 | 控訴棄却**

### 結論
- 控訴人会社の外注先6者に対する外注費は架空であり、損金算入は認められない
- 青色申告承認取消処分、法人税・消費税の更正処分及び重加算税賦課決定処分は適法
- 控訴人代表者に対する第二次納税義務の告知処分は、無効原因となる瑕疵がない

### 事案の概要
**当事者関係**
- 控訴人会社：土木業を営む株式会社（Fを主な受注先とする中小規模の土木業者）
- 控訴人甲：控訴人会社の代表取締役
- 外注先6者：丙、丁、戊、D、B、E（いずれも控訴人らと密接な関係）

**経緯**
1. 控訴人会社は平成16年9月期から平成18年9月期にかけて、外注先6者に対する外注費を計上
2. 大阪国税局査察部が平成19年8月に犯則調査を実施
3. 控訴人甲名義の貸金庫から6億8500万円の現金が発見
4. 西淀川税務署長が青色申告承認取消、法人税・消費税の更正処分等を実施
5. 控訴人甲に対し第二次納税義務の告知処分（国税徴収法39条）

**金額等**
- 架空外注費計上額：本件外注費（原判決別紙3記載）
- 貸金庫内現金：6億8500万円（うち少なくとも2億2000万円は四貫島口座から出金）

### 争点
1. 本件外注費は架空計上か否か
2. 青色申告承認取消処分の適法性
3. 第二次納税義務の要件（無償譲渡等）の充足
4. 本件告知処分の無効原因の有無

### 裁判所の判断
**本件外注費の架空性について**
- 本件金銭流通表データの「現金支払」欄の金額は、外注先への銀行振込額とほぼ一致し、本件外注費の金額をはるかに下回る
- 貸金庫内の2億2000万円は、四貫島口座から出金された現金の一部であり、外注費の架空計上により捻出されたもの
- 当審で提出された請求書等（外注先とブローカー間）は、提出経緯が不自然であり信用できない
- 関係者（乙、丙、丁、戊等）の供述は、控訴人らとの密接な関係から信用性に疑問
- 本件日報データとFの日報が一致する一方、本件請求書等とは整合しない

**第二次納税義務について**
- 四貫島口座から出金された現金の全部について、出金時点で控訴人甲への無償譲渡等があったとは認められない
- しかし、控訴人甲が使途を管理・決定していたことから、経費として費消された部分を除き無償譲渡等と推認
- 告知処分の瑕疵は重大であっても明白とはいえず、無効原因とならない

### 条文・通達の解説
- **国税徴収法39条**：滞納者が無償譲渡等を行った場合、受益者に対し第二次納税義務を課す規定。滞納者の財産から徴収不足となる場合の補充的徴収手段
- **法人税の青色申告承認取消**：帳簿書類に取引の全部又は一部を隠蔽仮装して記載した場合に取り消される（法人税法127条1項3号）
- **重加算税**：事実の隠蔽・仮装があった場合に課される加算税。過少申告加算税に代えて35%の税率で課税

---

## 12866: 法人税更正処分取消請求控訴事件

**大阪高等裁判所 平成28年6月10日判決 | 控訴棄却**

### 結論
- 国外関連者への役務提供取引の主体は控訴人らであり、移転価格税制の適用は適法
- 役務提供の対価は日々確定し、収益計上時期は当該事業年度に帰属
- 独立企業間価格の算定方法として総原価法の適用は相当

### 事案の概要
**当事者関係**
- 控訴人A・C・D：Hグループの日本法人
- F社：Hグループの中核企業
- E社：中国所在の国外関連者（控訴人らの出資先）

**経緯**
1. E社の工場立ち上げに伴い、控訴人らが生産管理・技術指導等の役務提供を実施
2. 役務提供の対価はE社からF社を経由して控訴人らに支払われた
3. 南税務署長が移転価格税制を適用し、独立企業間価格との差額を課税

**金額等**
- 対象事業年度：平成19年3月期から平成22年3月期
- 独立企業間価格：総原価法により算定
- 更正処分による増差所得：各社・各事業年度につき相当額

### 争点
1. 役務提供取引の主体は誰か（控訴人らかF社か）
2. 収益計上時期（役務提供に係る対価の権利確定時期）
3. 独立企業間価格の算定方法（総原価法の適用可否）

### 裁判所の判断
**取引主体について**
- 役務提供の具体的内容は控訴人らとE社が協議して決定し、F社は関与せず
- 対価の算定方法もE社と控訴人らとの間で行われた
- F社を介した支払は、F社口座の利用又は立替払（第三者弁済）と解される
- 金銭の流れのみでF社が取引主体とは推認できない

**収益計上時期について**
- 本件役務提供は、E社工場の順調な稼働を目的とする継続的役務提供
- 各出張業務は全体の一部であり、その成果は日々蓄積する
- したがって、対価を収入すべき権利は日々確定する

**独立企業間価格について**
- 本件役務提供は、E社からの製品輸入取引という「本来の業務」に付随したもの
- 移転価格事務運営指針2-10に基づき、総原価法の適用は相当
- 役務提供費用は売上原価の1%未満であり、除外事由にも該当しない

### 条文・通達の解説
- **租税特別措置法66条の4**：移転価格税制の根拠規定。国外関連者との取引が独立企業間価格と異なる場合、独立企業間価格で取引したものとして課税所得を計算
- **移転価格事務運営指針2-10**：本来の業務に付随した役務提供については、総原価の額を独立企業間価格とすることができる旨の規定

---

## 12870: 法人税更正処分等取消請求上告受理申立て事件

**最高裁判所 平成28年6月17日決定 | 上告不受理**

### 結論
- 上告受理申立ては認められない
- 本件は民訴法318条1項により受理すべきものとは認められない

### 事案の概要
**当事者関係**
- 申立人：株式会社B
- 相手方：国

**経緯**
- 法人税更正処分等の取消しを求める訴訟において、原審で敗訴
- 最高裁判所に上告受理の申立て

### 争点
- 原判決に法令解釈の誤り等、上告受理事由があるか

### 裁判所の判断
- 本件申立ての理由によれば、民訴法318条1項により受理すべきものとは認められない
- 申立費用は申立人の負担

### 条文・通達の解説
- **民訴法318条1項**：上告受理申立制度。原判決に最高裁判例と相反する判断がある場合等、法令の解釈に関する重要な事項を含むものについて受理することができる

---
