# batch-211

---

## 12881: 法人税更正処分等取消請求控訴事件

**東京高等裁判所 平成28年7月14日判決 | 控訴棄却**

### 結論
- 中国企業所得税は、本件事業年度においては外国税額控除の対象となる外国法人税に該当しない
- 外国税額控除は、外国法人税の納付すべき租税債務が確定した事業年度において適用される
- 本件更正処分及び過少申告加算税賦課決定処分は適法

### 事案の概要
**当事者関係**
- 控訴人：日本法人
- B社：中国所在の企業（控訴人の出資持分譲渡対象会社）
- 譲渡先：台湾所在の企業

**経緯**
1. 控訴人は中国企業（B社）の出資持分を台湾企業に売却
2. 譲渡益に対して中国において企業所得税が課されることとなった
3. 控訴人は当該中国企業所得税額を法人税法69条1項により外国税額控除として申告
4. 神田税務署長は、当該税額は本件事業年度において外国法人税に該当しないとして更正処分

**金額等**
- 対象事業年度：平成22年3月から平成23年2月まで
- 中国企業所得税：出資持分譲渡益に対する税額

### 争点
1. 外国税額控除の「納付することとなる」の意義（租税債務の確定が必要か）
2. 本件中国企業所得税が本件事業年度において外国法人税に該当するか
3. 過少申告加算税に係る正当な理由の有無

### 裁判所の判断
**外国税額控除制度の沿革**
- 昭和28年の制度創設時は、外国法人税の確定日を問わず国外所得の発生事業年度で控除
- 昭和37年改正により、外国法人税の確定日の属する事業年度で控除する制度に変更
- 昭和38年改正で控除限度額の繰越控除制度が導入され、国外所得と外国税額確定時期のずれを調整

**「納付することとなる」の解釈**
- 外国税額控除制度は、控除対象外国法人税の納付すべき租税債務の確定を基準として適用の可否を判断
- 法人税法69条10項が「控除対象外国法人税の額を課されたことを証する書類」の保存を要件としていることも、租税債務の確定を前提とする制度であることを裏付ける

**本件への適用**
- 控訴人が中国税務機関にとって課税要件事実が明白で税額計算が容易であったと主張する根拠は認められない
- B社の届出等により中国税務機関が税額を了知できたことを認める証拠もない
- したがって、本件事業年度においては中国企業所得税の租税債務は確定しておらず、外国税額控除の適用不可

**控訴人の遡及適用の主張について**
- 外国税額が確定する事業年度において控除申告すれば、二重課税は回避可能
- 申告時に遡って控除を認める必要があるとの主張は前提において失当

### 条文・通達の解説
- **法人税法69条1項**：外国税額控除の規定。内国法人が各事業年度において外国法人税を納付することとなる場合、一定の限度額まで法人税額から控除
- **法人税法69条2項・3項**：繰越控除制度。控除限度額の余裕額の繰越使用と控除限度超過額の繰越控除を規定
- **法人税法69条10項**：外国税額控除の適用要件として、控除対象外国法人税を課されたことを証する書類等の保存を要求

---

## 12884: 法人税更正処分取消等請求事件

**東京地方裁判所 平成28年7月19日判決 | 請求棄却**

### 結論
- リース契約における本件プラチナの「取得」時期は、買取選択権の行使時である
- 本件特別損失計上額は、本件プラチナの取得価額の一部であり、損金算入は認められない
- 本件更正処分及び過少申告加算税賦課決定処分は適法

### 事案の概要
**当事者関係**
- 原告：液晶ディスプレイ用ガラス基板の製造販売会社（Dグループの日本法人）
- B社・C社：プラチナの貸主（リース会社）
- D本社：米国所在の親会社

**経緯**
1. 原告は超薄型ガラス製品製造設備に用いるプラチナ合金製部品のため、B社・C社とリース契約を締結
2. リース期間中、原告はプラチナを合金化して製造設備に使用
3. リース終了時に買取選択権を行使し、121億832万円余を支払
4. 原告は支払額と契約開始時の時価との差額（約19億8000万円）を特別損失として計上

**金額等**
- 対象事業年度：平成19年1月から12月まで
- 買取選択権行使による支払総額：121億832万554円
- 本件特別損失計上額：19億8005万5928円

### 争点
1. 本件プラチナの「取得」の時期（契約開始時か買取選択権行使時か）
2. 本件特別損失計上額は取得価額か損金か

### 裁判所の判断
**「取得」の意義**
- 法人税法における「取得」とは、所有権移転の原因となる私法上の法律行為
- 本件契約の準拠法はニューヨーク州法であるが、租税法上の「取得」は我が国民法上の所有権移転に相当する実質を備えた行為が行われた時

**本件契約の法的性質**
- 契約期間中、貸主がプラチナの「title」を留保
- 原告は、①リース料支払義務、②担保権設定・転貸禁止、③合金化以外の加工改良禁止、④契約終了時の返還可能性という制約を受ける
- 「title」の意義は、本件契約の内容に照らし、民法上の所有権に相当

**取得時期の認定**
- 原告は買取選択権又は返還選択権を行使して初めて、プラチナを自由に使用・収益・処分する権利を取得
- したがって、取得時期は買取選択権行使時であり、契約開始時ではない
- 原告自身も会計帳簿において本件事業年度に取得価額を計上しており、この認定と整合

**原告の消費貸借契約の主張について**
- 本件契約は、債務不履行時のリース資産返還義務や、リース資産そのものの返還も予定
- 常に同種同等同量の物を返還する消費貸借契約とはいえない
- ニューヨーク州UCCの担保権設定契約の要件も満たさない

### 条文・通達の解説
- **法人税法施行令54条1項1号**：購入した減価償却資産の取得価額は、購入代価と事業の用に供するために直接要した費用の合計額
