# batch-215

---

## 12926: 租税法律主義違反並びに国税不服審判決定取消請求事件

**金沢地方裁判所 平成28年10月27日判決 | 却下**

### 結論
- 本件訴えをいずれも却下
- 訴訟費用は原告の負担

### 事案の概要
**当事者関係**
- 原告：破産した株式会社Aの元代表取締役
- 被告：国（国税不服審判所長）

**経緯**
1. 原告の経営していた株式会社Aは平成8年10月に破産宣告を受け、平成11年4月に異時廃止
2. 原告は別件訴訟（顧問税理士に対する損害賠償請求）において、税理士が作成した決算書等の記載内容に誤りがあったことが認められた（平成17年3月25日判決、同年4月9日確定）
3. 本件法人は平成25年7月9日、法人税の更正の請求に対する「更正をすべき理由がない旨の通知処分」の取消しを求めて審査請求
4. 国税不服審判所長は同年10月25日、通知処分は存在しないとして審査請求を却下する裁決
5. 原告は平成27年7月2日に本件訴訟を提起

**金額等**
- 問題となった法人税：平成元年3月1日～平成2年2月28日事業年度の法人税2250万6200円

### 争点
1. 金沢税務署長が法人税を返還しないことが憲法84条（租税法律主義）に違反するか
2. 国税不服審判所長の裁決の取消請求は適法か
3. 同裁決の無効確認請求は適法か

### 裁判所の判断
1. **請求の趣旨第1項（憲法違反の確認請求）について**
   - 確認を求める対象は原告とは権利義務の主体を異にする本件法人の被告に対する給付請求権の存在
   - 本件法人と原告は別の法人格であり、本件法人が有するとする法人税の返還請求権に係る不作為が憲法違反であることが確認されても、原告個人の法的利益が保護されるという関係にあるとは認め難い
   - **確認の利益が認められないため、訴えの利益を欠き不適法**

2. **請求の趣旨第2項（裁決の取消請求）について**
   - 行政事件訴訟法14条2項本文は、取消訴訟の出訴期間について「処分又は裁決の日から1年を経過したときは、提起することができない」と規定
   - 裁決書は平成25年10月26日に原告に到達、本件訴訟の提起は平成27年7月2日
   - **出訴期間を経過した後に提起された不適法な訴えとして却下**
   - 原告は専門家の助言を受けられなかったことが「正当な理由」に当たると主張するも、専門家に助言を求めることについて妨げとなる事情は認められず、採用されず

3. **請求の趣旨第3項（裁決の無効確認請求）について**
   - 本件裁決は本件法人を名宛人として行われた裁決であり、その効力は原告個人には及ばない
   - **原告適格を欠く不適法な訴えとして却下**

4. **補助参加申出について**
   - 原告補助参加申出人（原告の妻で本件法人の元取締役）の補助参加は、本件訴訟の結果につき法律上の利害関係を有するとは認められず、不許可

### 条文・通達の解説
- **行政事件訴訟法14条2項**：取消訴訟の出訴期間を定める規定。処分又は裁決の日から1年を経過したときは訴訟を提起できない。ただし書きで「正当な理由」がある場合は例外
- **行政事件訴訟法9条1項**：取消訴訟の原告適格に関する規定
- **行政事件訴訟法36条**：無効等確認の訴えの原告適格に関する規定
- **憲法84条**：租税法律主義を定める規定

---

## 12937: 青色申告取消処分等請求事件

**宮崎地方裁判所 平成28年11月25日判決 | 棄却**

### 結論
- 原告の請求をいずれも棄却
- 訴訟費用は原告の負担

### 事案の概要
**当事者関係**
- 原告：宮崎県串間市を本店とする株式会社（魚類の養殖・販売業）
- 関連会社：C株式会社
- 取引先：D株式会社（水産飼料事業）、有限会社B、E株式会社

**経緯**
1. 平成18年10月、Dの販売した養殖魚用飼料から使用禁止成分Iが検出
2. 平成19年7月、台風4号により原告がDから管理委託を受けていた養殖魚が全滅
3. 平成20年1月～2月、原告がBに対しカンパチを売却したとして売上3億3000万円を計上
4. 平成20年2月～3月、Bから合計3億4650万円（本件金員）を受領
5. 平成20年3月31日付けで、Bからカンパチ3億2000万円を仕入れたと計上
6. Dの社内調査委員会（平成22年）が、一連の取引は架空の循環取引であったと結論
7. 日南税務署長は平成24年4月25日付けで青色申告承認取消処分、更正処分、重加算税賦課決定処分を実施

**金額等**
- 本件売上取引：3億3000万円（カンパチ33万尾×1000円）
- 本件金員受領額：3億4650万円
- 本件仕入取引：3億2000万円（カンパチ32万尾×1000円）

### 争点
1. 本件金員は「無償による資産の譲受け」として益金算入すべきか（争点1）
2. 本件賦課決定処分の要件該当性（争点2）
3. 本件青色取消処分の要件該当性（争点3）
4. 租税公平（平等）主義との関係（争点4）

### 裁判所の判断
1. **本件各取引の実態について**
   - Bの代表者戊やFは、本件各取引が架空であったと供述
   - 本件調査報告書も本件売上取引は原告のDに対する買掛金債務を解消するための架空取引と結論
   - 本件仕入取引に係る債務は一切履行されず、最終的に存在しないものとして処理

2. **原告関係者の認識について**
