# batch-216

---

## 12944: 法人税更正処分取消等請求控訴事件

**東京高等裁判所 平成28年12月14日判決 | 控訴棄却**

### 結論
- 本件控訴を棄却
- 控訴費用は控訴人の負担

### 事案の概要
**当事者関係**
- 控訴人：法人税法67条1項に規定する同族会社に該当する内国法人
- 被控訴人：国

**経緯**
1. 控訴人は平成17年1月1日から同年12月31日までの事業年度の法人税について確定申告
2. 銀座の商業ビル（Dビル）の売却に関して架空の譲渡原価を計上し、固定資産売却益を過少に申告したとして、平成22年9月29日付けで更正処分及び重加算税賦課決定処分
3. 控訴人は処分の取消しを求めて提訴
4. 原審は控訴人の請求を棄却
5. 控訴人が控訴を提起

**金額等**
- 問題となった譲渡原価：架空のものと認定
- 留保金課税の適用あり

### 争点
1. 同族会社に対する留保金課税において、留保金課税の前提となる「留保した金額」の意義
2. 架空取引に対応して社内に留保される現金（ほ脱所得）の実在を課税庁が立証する必要があるか

### 裁判所の判断
1. **「留保した金額」の意義について**
   - 法人税法67条2項の「留保した金額」とは、当該同族会社の所得等の金額のうち株主配当や役員賞与等として社外流出した額以外のもの
   - 現金等として現実に社内に留保されている資産を指すものではない
   - 社外流出とは、株主配当、役員賞与等として社外に支払われる所得の処分に係るもの
   - 社内留保とは、結果的に所得等のうち社外流出した額以外のもの、すなわち差額概念として把握される

2. **課税庁の調査・立証義務について**
   - 「留保した金額」は法人の所得等の金額のうち社外流出した額以外のものとして把握すれば足りる
   - 課税庁において、当該同族会社における「留保した金額」（内部留保）が社内に現金等として実在することの調査を必要としない
   - **控訴人の主張する調査義務・立証義務は認められない**

3. **同族会社に対する留保金課税の趣旨**
   - 同族会社が利益を内部に留保して所得税を回避する傾向にあることに着目
   - 所得税の回避を防止し、個人企業と同族会社との間の負担の公平を図るために設けられた制度

### 条文・通達の解説
- **法人税法67条1項**：同族会社に対する留保金課税を定める規定。留保金額が留保控除額を超える場合、所定の税率を乗じた金額を法人税額に加算
- **法人税法67条2項**：「留保金額」の定義規定。所得等の金額のうち留保した金額から法人税額等を控除した金額

---

## 12948: 法人税更正処分取消等請求上告受理事件

**最高裁判所 平成28年12月21日決定 | 上告不受理**

### 結論
- 本件を上告審として受理しない
- 申立費用は申立人の負担

### 事案の概要
**当事者関係**
- 申立人：法人税更正処分等を受けた法人
- 相手方：国

**経緯**
1. 法人税更正処分及び重加算税賦課決定処分の取消訴訟
2. 原審（東京高等裁判所）で敗訴
3. 申立人が上告受理申立て

### 争点
- 本件申立てが民訴法318条1項により上告審として受理すべきものか

