# batch-217

---

## 12952: 通知処分取消請求事件

**東京地方裁判所 平成29年1月12日判決 | 棄却**

### 結論
- 原告の請求を棄却
- 訴訟費用は原告の負担

### 事案の概要
**当事者関係**
- 原告：プラスチック製部品の製造販売等を目的とする株式会社（B株式会社を親会社とするCグループに属する）
- 乙：原告の前代表取締役（平成16年5月28日から平成23年5月30日まで代表取締役）
- 甲：原告の現代表取締役（平成23年5月30日就任）
- 丙：B株式会社の代表取締役

**経緯**
1. 乙は、早めに代表取締役を退任して後任への引継ぎに当たろうと考え、平成23年5月30日に代表取締役を退任
2. 甲は営業部長から取締役・代表取締役に就任
3. 原告は乙に対し、退職慰労金5609万6610円（本件金員）を支給
4. 原告は本件金員を損金算入して法人税確定申告
5. その後、税務調査を受け、本件金員を損金不算入とする修正申告を提出
6. 原告は再度、本件金員の損金算入を求めて更正の請求
7. 大森税務署長は「更正をすべき理由がない旨の通知処分」

**金額等**
- 退職慰労金：5609万6610円
- 乙の退任前月額報酬：205万円
- 乙の退任後月額報酬：70万円
- 甲の就任当初月額報酬：85万円

### 争点
1. 本件金員が法人税法34条1項括弧書き所定の「退職給与」に該当するか
2. 本件金員を損金不算入とすることが租税公平主義に違反するか

### 裁判所の判断
1. **「退職給与」の意義**
   - 役員が会社を退職したことによって支給され、かつ、役員としての在任期間中における継続的な職務執行に対する対価の一部の後払いとしての性質を有する給与
   - 役員の分掌変更等により、役員としての地位又は職務の内容が激変し、実質的に退職したと同様の事情にある場合も該当

2. **本件通達（法人税基本通達9-2-32）の趣旨**
   - 常勤役員が経営上主要な地位を占めない非常勤役員になった場合
   - 取締役が経営上主要な地位を占めない監査役になった場合
   - 分掌変更後の給与が激減（おおむね50%以上の減少）した場合

3. **乙の実質的退職の有無**
   - 乙は代表取締役退任後も常勤の相談役として毎日出社
   - 退任前と同じ執務室で甲と並んで執務
   - 各会議の議事録や稟議書に「相談役」として押印継続
   - 甲は経営全般について乙に相談し、助言に従って業務実施
   - 乙は取引銀行との交渉を単独で継続
   - 親会社との関係調整も乙が担当
   - **乙は引き続き原告の経営上主要な地位を占めていた**

4. **結論**
   - 乙について「実質的に退職したと同様の事情」は認められない
   - 本件金員は法人税法34条1項括弧書き所定の「退職給与」に該当しない
   - 本件金員は同項各号のいずれにも該当しないため、損金不算入

### 条文・通達の解説
- **法人税法34条1項**：役員給与の損金不算入規定。定期同額給与等以外の役員給与は損金不算入
- **法人税法34条1項括弧書き**：退職給与は損金不算入の対象から除外
- **法人税基本通達9-2-32**：役員の分掌変更又は改選による再任等に際し支給した退職給与の取扱い

---

## 12953: 法人税更正処分取消等請求事件

**東京地方裁判所 平成29年1月13日判決 | 一部取消**

### 結論
- 法人税の更正処分及び重加算税賦課決定処分の一部取消し
- 消費税等の更正処分及び重加算税賦課決定処分の一部取消し
- 原告のその余の請求を棄却

### 事案の概要
**当事者関係**
- 原告：建設工事用機械のリース業等を目的とする株式会社（茨城県鹿嶋市）
- 甲：原告代表取締役
- D株式会社：建設機械の国内販売等を目的とする会社（後にF株式会社に吸収合併）
- E株式会社：建設機械のリース・レンタル等を目的とする会社
- 乙（B）：D等との中古重機等の取引に関与した者
- 丙：Dの元取締役
- 丁：Dの従業員（後にEの代表取締役）

**問題となった取引**
1. 原告は中古重機等を乙（B）に売却したとして売却価額を収入金額に計上
2. 処分行政庁は、実際の売却先はD又はEであり、売却価額は申告額より高いと認定
3. 差額（本件税抜差額）を固定資産売却益の計上漏れとして更正処分

**金額等**
- 本件重機等：40台（本件重機等1～30はD向け、31～40はE向けと認定）
- 乙への売却額（原告申告額）と、D等への売却額（被告認定額）の差額が問題

### 争点
1. 原告が本件重機等の売却額の一部を隠蔽・仮装して申告したか（青色申告承認取消処分の関係）
2. 本件税抜差額が原告において益金算入すべき金額と認められるか（更正処分の関係）

### 裁判所の判断
1. **本件取引の実態**
   - 本件重機等の価格査定は丙又は丁が行い、乙は行っていなかった
   - 陸送業者の選定や名義書換書類の手配も丁等が行った
   - 本件重機等は乙の下を経由せず、直接D等に納入

2. **裏金作りの認定**
   - 丙・乙の供述により、原告とDの取引の間に乙を介在させ、手数料を支払って裏金を捻出する取引であったと認定
   - ただし、甲が現金を受領したとの被告主張については、丁等の供述に信用性に疑問があり、立証不十分

3. **青色申告承認取消処分について**
   - 本件取引が原告とD等との間の取引であったとしても、甲が本件税抜差額を受領したとは認められない
   - 原告において隠蔽・仮装行為があったとは認められない
   - **青色申告承認取消処分は違法**

4. **更正処分について**
   - 本件税抜差額のうち、丁等に帰属したと認められる部分は原告の益金に算入されない
   - 乙に帰属した手数料部分も原告の益金に算入されない
   - **原告の益金に算入すべき額は、本件税抜差額から丁等及び乙に帰属した額を控除した残額**

5. **重加算税賦課決定処分について**
   - 原告に隠蔽・仮装行為は認められない
   - **重加算税賦課決定処分は全部取消し**

### 条文・通達の解説
- **法人税法22条2項**：益金の額に算入すべき金額を定める規定
- **法人税法127条1項3号**：帳簿書類に取引を隠蔽・仮装して記載した場合の青色申告承認取消事由
- **国税通則法68条1項**：重加算税の賦課要件（事実の隠蔽又は仮装）
- **法人税法55条1項**：隠蔽仮装行為に要する費用・損失の損金不算入

---

## 12956: 法人税額等更正処分等取消請求事件

**東京地方裁判所 平成29年1月18日判決 | 棄却**

### 結論
- 原告の請求をいずれも棄却
- 訴訟費用は原告の負担

### 事案の概要
**当事者関係**
- 原告：弁理士法に基づき設立された特許業務法人
- 甲：原告の代表社員（昭和51年から個人事業主として弁理士業を営んでいた）
- 本件社員ら（乙・丙・丁）：甲以外の社員（原告設立前から弁理士として業務従事）

**経緯**
1. 原告は本件社員らに対し、固定給と歩合給（実績給・賞与）を支給
2. 歩合給は担当件について原告が顧客に請求する額に一定比率を乗じた額
3. 原告は歩合給全額を損金算入して法人税申告
4. 芝税務署長は、本件社員らが法人税法上の「役員」に該当し、かつ「使用人兼務役員」に該当しないとして更正処分
5. 歩合給は定期同額給与等に該当しないため損金不算入と認定

**金額等**
- 対象事業年度：平成20年3月期から平成24年3月期
- 本件各歩合給：別表1記載のとおり（実績給及び賞与）

### 争点
1. 本件社員らの役員該当性
2. 本件社員らの使用人兼務役員該当性
3. 法人税法34条1項の合憲性

### 裁判所の判断
1. **役員該当性について**
   - 法2条15号の「法人の経営に従事している」者とは、法人内における地位・職責からみて法人の経営に従事していると一般的・類型的に評価し得る者
   - 特許業務法人の社員は、全員が業務を執行する権利を有し、義務を負う（弁理士法46条）
   - 定款によっても業務執行権は制限できない
   - 特許業務法人の債務について各社員は連帯して弁済責任を負う（弁理士法47条の4第1項）
   - **本件社員らは原告の役員に該当する**

2. **使用人兼務役員該当性について**
   - 特許業務法人の社員と法人との関係には民法の委任に関する規定が準用
   - 一般には雇用契約等に基づく使用人と事業主との関係に立つものではない
   - 弁理士である役員が行う職務は、使用人としての立場で従事するものではないと一般的・類型的に評価し得る
   - 令71条1項3号が「合名会社、合資会社及び合同会社の業務を執行する社員」を使用人兼務役員から除外していることと整合的
   - **本件社員らは使用人兼務役員に該当しない**

3. **法34条1項の合憲性について**
   - 役員給与の損金算入制限は、支給の恣意性を排除し課税の公平を害することがないようにする目的
   - 立法目的は正当であり、課税要件等の定めが当該立法目的との関連で著しく不合理であることが明らかであるとは認められない
   - **法34条1項は憲法14条1項、22条、29条等に違反しない**

4. **結論**
   - 本件各歩合給は定期同額給与等のいずれにも該当しない
   - **本件各歩合給の全額が損金不算入**

### 条文・通達の解説
- **法人税法2条15号**：「役員」の定義規定。法人の取締役等及び法人の経営に従事している者
- **法人税法34条1項**：役員給与の損金不算入規定。定期同額給与、事前確定届出給与、利益連動給与のいずれにも該当しないものは損金不算入
- **法人税法34条5項**：「使用人兼務役員」の定義規定
- **法人税法施行令7条1号**：法人の経営に従事している者（役員該当性）
- **法人税法施行令71条1項3号**：合名会社等の業務執行社員は使用人兼務役員から除外
- **弁理士法46条**：特許業務法人の社員は全員が業務執行権を有し義務を負う
- **弁理士法47条の2**：代表社員に関する規定

---

