# batch-226

---

## 13042: 法人税額等更正処分等取消請求控訴事件

**東京高等裁判所 平成29年8月28日判決 | 控訴棄却**

### 結論
- 控訴棄却
- 特許業務法人の社員は法人税法上の「役員」に該当し、「使用人兼務役員」には該当しない
- 社員に対する歩合給は損金不算入

### 事案の概要

**当事者関係**
- 控訴人（原告）：特許業務法人
- 甲：控訴人の代表社員
- 本件社員ら（乙・丙・丁）：控訴人の社員（代表権なし）

**経緯**
1. 控訴人は本件社員らに対し歩合給（実績給及び賞与）を支給
2. 芝税務署長が本件社員らは法人税法上の「役員」に該当し、かつ「使用人兼務役員」に該当しないとして更正処分
3. 本件歩合給は法人税法34条1項各号の給与のいずれにも該当しないため損金不算入
4. 平成20年3月期から平成24年3月期の法人税更正処分及び過少申告加算税賦課決定処分
5. 原審で控訴人敗訴、控訴

**金額等**
- 平成20年3月期：所得金額4146万円超の部分の取消しを請求
- 平成21年3月期：所得金額2724万円超の部分の取消しを請求
- 平成22年3月期：所得金額6326万円超の部分の取消しを請求
- 平成23年3月期：所得金額5573万円超の部分の取消しを請求
- 平成24年3月期：所得金額5546万円超の部分の取消しを請求

### 争点
1. 本件社員らが法人税法2条15号の「役員」に該当するか
2. 本件社員らが法人税法34条5項の「使用人兼務役員」に該当するか
3. 法人税法34条1項が憲法14条1項、22条、29条に違反するか
4. 更正処分の理由付記に不備があるか

### 裁判所の判断

**「役員」該当性（争点1）について**
- 法人税法2条15号後段・施行令7条1号の「法人の経営に従事している者」には、実際に経営に従事している者のほか、法令上の権限等に照らし経営に従事していると一般的・類型的に評価し得る者を含む
- 特許業務法人の社員は弁理士法46条により業務執行権を有する
- 本件社員らは法人税法上の「役員」に該当

**「使用人兼務役員」該当性（争点2）について**
- 法人税法34条5項・施行令71条1項が規定する役員は、代表権の有無に着目した規定ではない
- 特許業務法人の社員は、社員たる地位に基づいて弁理士業務を行うことが本来的に予定されている
- 本件社員らが使用人弁理士と同様の業務を行っていても、それは社員たる地位に基づくもの
- 本件社員らは「常時使用人としての職務に従事するもの」に該当せず、使用人兼務役員ではない

**憲法適合性（争点3）について**
- 法人税法34条1項の立法目的は正当
- 課税要件等の定めが立法目的との関連で著しく不合理であることが明らかとは認められない
- 憲法14条1項、22条、29条に違反しない

**理由付記（争点4）について**
- 本件各更正処分には更正の理由が付記されている
- 更正処分取消訴訟では原則として理由の追加・差替えが認められる
- 理由の記載に一部誤りがあっても取消事由とならない

### 条文・通達の解説
- **法人税法2条15号**：「役員」の定義。取締役、監査役等のほか、「法人の経営に従事している者」を含む
- **法人税法34条1項**：役員給与のうち定期同額給与・事前確定届出給与・業績連動給与以外は損金不算入
- **法人税法34条5項**：「使用人兼務役員」の定義。社長、理事長その他政令で定める役員を除く
- **弁理士法46条**：特許業務法人の社員は、すべて業務を執行する権利を有し、義務を負う
- **弁理士法47条の3**：指定社員制度。指定された事件については指定社員のみが業務執行権を有する

---

## 13043: 法人税更正処分等取消請求事件

**東京地方裁判所 平成29年8月29日判決 | 請求棄却**

### 結論
- 原告の請求をいずれも棄却
- 原発事故賠償金は損金算入不可
- 口蹄疫免税臨特法の類推適用は認められない

### 事案の概要

**当事者関係**
- 原告：一般建築請負業等を目的とする株式会社（資本金3000万円）
- E株式会社（現F株式会社）：東京電力（原発事故の賠償支払者）

**経緯**
1. 原告は福島県双葉郡に賃貸用工場・店舗を所有
