# batch-227

---

## 13050: 所得税決定処分等取消請求控訴事件

**東京高等裁判所 平成29年9月6日判決 | 取消**

### 結論
- 控訴棄却（原審維持）
- 原告（控訴人）の請求を認めず、外国子会社合算税制（タックスヘイブン対策税制）に基づく課税処分を適法と判断

### 事案の概要
**当事者関係**
- 控訴人：シンガポール所在の外国法人C社の株式を保有する日本居住者
- 処分行政庁：今治税務署長
- C社：シンガポールに本店を置く特定外国子会社等

**経緯**
- 平成11年頃：C社が油そう船を1722万シンガポールドルで購入
- 平成17年：同船を940万シンガポールドルで売却
- 平成23年3月10日：税務署長が平成17年分の所得税決定処分及び無申告加算税賦課決定処分
- C社の課税対象留保金額が控訴人の雑所得に算入されるとされた

**金額等**
- 控訴人の平成17年度雑所得金額：130万6238.38シンガポールドル（約9231万1866円）

### 争点
1. 措置法40条の4第2項2号の未処分所得金額の計算方法
2. 特定外国子会社等に該当する前の事業年度の減価償却費の修正が認められるか
3. 控訴人作成の修正損益計算書に基づく計算の可否

### 裁判所の判断
1. **未処分所得の計算方法について**
   - 措置法施行令39条の15第1項1号は、特定外国子会社等の決算に基づく所得の金額を基礎とすることが原則
   - 「本邦法令の規定の例に準じて」の趣旨は、形式的要件を満たさない場合でも本邦法令の適用を認める趣旨
   - 決算の修正が許容される範囲は、本邦と本店所在地国との会計制度の差異の調整にとどまる

2. **減価償却費の修正について**
   - 法人税法31条1項が損金経理を要求する趣旨（選択的・恣意的経理の抑制）
   - 特定外国子会社等の決算において適正に償却費を経理している場合、事後的に任意の金額に修正することは許されない
   - 特定外国子会社等に該当する前の事業年度の減価償却費を修正し、期首帳簿価額を引き直すことは法令上予定されていない

3. **控訴人作成損益計算書について**
   - 特定の事業年度において未処分所得が生じないようにする意図で事後的に任意の金額に修正したもの
   - 内国法人であればおよそできない利益調整行為であり、採用できない

### 条文・通達の解説
- **租税特別措置法40条の4（外国子会社合算税制）**：居住者が特定外国子会社等の株式を保有する場合、その課税対象留保金額を雑所得として課税する規定
- **措置法施行令39条の15第1項1号**：未処分所得の金額の計算について、本邦法令の規定の例に準じて計算することを定める
- **措置法通達66の6-10**：減価償却資産の償却費の計算に関する通達で、本判決と整合的に理解される

---

## 13058: 不当利得返還請求控訴事件

**東京高等裁判所 平成29年9月13日判決 | 取消**

### 結論
- 控訴棄却（原審維持）
- 更正の請求を棄却した処分を適法と判断
- 役員報酬の定期同額給与該当性を否定

### 事案の概要
**当事者関係**
- 控訴人：株式会社（不動産の売買・賃貸・管理等を目的）
- 甲：控訴人の現在の一人株主兼代表取締役
- 丁ら：控訴人の前の株主ら
- 処分行政庁：相模原税務署長

**経緯**
- 甲が前株主らから全株式を購入したが、売買契約の有効性について紛争発生
- 株主総会決議不存在確認請求訴訟の本案として仮処分命令
- 職務代行者が本件各事業年度の法人税確定申告を実施
- 別訴判決確定により、株主地位確認請求棄却・株主総会決議不存在確認請求認容
- 甲が改めて代表取締役に就任後、更正の請求

**金額等**
- 22年2月期：更正請求により所得金額2287万8073円、納付税額589万9800円までの更正を求める
- 23年2月期：更正請求により翌期繰越欠損金額について争う

### 争点
1. 国税通則法23条2項1号の「計算基礎事実」の範囲
2. 21年8月総会決議の存否と役員報酬の定期同額給与該当性
3. 業務関連費の債務確定の有無
4. 申告の瑕疵が客観的に明白かつ重大といえるか

### 裁判所の判断
1. **通則法23条2項1号の解釈**
   - 「判決により、その事実が当該計算の基礎としたところと異なることが確定したとき」とは、計算基礎事実と異なる事実が判決主文で確定された場合又はこれと同視できる場合
   - 別訴確定判決において、甲らの役員性が判決主文で確認されたとは言えず、同視もできない

2. **21年8月総会決議について**
   - 21年8月総会議事録は相当程度の期間が経過した後に作成されたもの
   - 総会が開催された事実を認めることは困難
   - 仮に開催されていても、21年8月決議報酬と22年2月決議報酬は金額が異なり、定期同額給与に該当しない

3. **業務関連費について**
   - 仮処分決定の効力存続中、職務代行者に権限があった
   - 甲らが行った業務は取締役としての業務とはいえない
   - 業務関連費に係る債務が控訴人に成立していたとは認められない

### 条文・通達の解説
- **国税通則法23条2項1号**：判決により計算基礎事実が異なることが確定した場合の更正請求の特例規定
- **法人税法34条1項**：役員給与の損金算入制限規定。定期同額給与等の要件を満たすものに限り損金算入を認める

---

## 13059: 損害賠償請求事件

**大阪地方裁判所 平成29年9月14日判決 | 棄却**

### 結論
- 原告の請求棄却
- 税務調査中の本店移転に関する国税調査官の発言が違法な命令であったとは認められない

### 事案の概要
**当事者関係**
- 原告：不動産売買・賃貸等を目的とする株式会社
- 甲：原告の代表取締役
- 乙統括官：浪速税務署法人課税部門統括国税調査官
- 丙上席：同部門上席国税調査官

**経緯**
- 平成27年9月29日：本件調査担当者らが原告の本店所在地で実地の税務調査開始
- 同年11月19日：原告が本店を大阪市浪速区から神戸市北区へ移転登記
- 平成28年2月8日：乙統括官が本件移転登記の存在を把握
- 同年2月25日：原告が移転登記の抹消登記を申請
- 同年7月7日：原告が再度本店を神戸市北区へ移転登記

**金額等**
- 原告請求額：10万円（抹消登記の登録免許税4万円＋再移転登記の登録免許税6万円）

### 争点
- 乙統括官が平成28年2月9日に原告代表者に架電し、原告の本店所在地を大阪市浪速区に戻すよう命令したか

### 裁判所の判断
1. **調査経過記録書の信用性**
   - 本件記録書には平成28年2月9日の調査経過の記載がない
   - 同月16日欄には、Cが「速やかに移転登記を錯誤により元に戻す」と述べた旨の記載あり
   - 原告代表者やCが乙統括官から本店移転を強いられたとの主張の記載はない

2. **乙統括官の行動**
   - 平成28年2月9日午後1時から午後5時頃まで、浪速税務署1階「総合受付」で総合案内業務に従事
   - 原告主張の同日午後3時頃に原告代表者に電話を架けたとは認められない

3. **本店移転を戻した動機**
   - 原告は既に相当期間にわたり浪速税務署による税務調査を受けていた
   - 大阪市内に事務所を構える丁税理士を代理人としていた
   - Cが引き続き浪速税務署による調査を受けた方が有利と判断した可能性を否定できない

4. **結論**
   - 乙統括官が原告の本店所在地を大阪市浪速区に戻すよう命令した事実を認めるに足りる証拠はない

### 条文・通達の解説
- **国家賠償法1条1項**：公務員の違法行為による損害賠償責任を定める規定。本件では違法行為の立証がされなかった
- **法人税法20条1項**：法人の納税地の異動届出義務を定める規定

---
