# batch-238

## 13150: 法人税更正処分等取消請求事件

**福岡地方裁判所 平成30年4月26日判決 | 棄却（納税者敗訴）**

### 結論

原告（納税者）の請求を全て棄却。土地収用に伴う建物移転料は「対価補償金」に該当せず、租税特別措置法64条1項の圧縮記帳の対象とならない。また、売上計上漏れ・仕入過大計上について重加算税の賦課及び青色申告承認取消処分は適法である。

### 事案の概要

原告は家庭用電気製品販売等を目的とする株式会社で、「A延岡店」と「A日向店」を経営していた。本件は以下の3つの争点を含む事案である。

1. 原告所有地が土地収用法に基づき収用されたことにより支払われた補償金のうち、建物移転料（約1億6700万円）について、租税特別措置法64条1項の圧縮限度額計算における「対価補償金」に該当するとして損金算入したが、処分行政庁は対価補償金に当たらないとして更正処分を行った。

2. 平成22年8月期に売上計上漏れ及び仕入過大計上があったとして、重加算税賦課決定処分がなされた。

3. 上記の事由により、青色申告の承認取消処分がなされた。

### 争点

1. 建物移転料が租税特別措置法64条1項の「対価補償金」に該当するか
2. 重加算税の賦課要件を満たすか（隠蔽・仮装行為の有無）
3. 青色申告承認取消処分の適法性

### 裁判所の判断

1. **建物移転料の対価補償金該当性について**
   - 租税特別措置法64条1項の「対価補償金」とは、資産の対価としての性質を有する補償金をいう
   - 建物移転料は、建物を新たな移転先に移転するための費用に対する補償であり、資産の対価ではない
   - 収用裁決時点で当該建物は営業に供されておらず、建物としての経済的価値は乏しかった
   - したがって、建物移転料は対価補償金に該当しない

2. **重加算税について**
   - 売上計上漏れは、原告代表者が売上金の一部を会社に入金せず隠匿したものである
   - 仕入過大計上は、実際には仕入が行われていない架空仕入れである
   - これらは「隠蔽又は仮装」に該当し、重加算税の賦課要件を満たす

3. **青色申告承認取消処分について**
   - 上記の隠蔽・仮装行為は、帳簿書類の記載内容が真実に反する事実を記載したものである
   - 法人税法127条1項3号の取消事由に該当し、青色申告承認取消処分は適法である

### 条文・通達の解説

**租税特別措置法64条1項（収用等に伴い代替資産を取得した場合の課税の特例）**：収用等により資産を譲渡し、代替資産を取得した場合、譲渡益の圧縮記帳が認められる。ただし、この特例の対象となる補償金は「対価補償金」（資産の対価としての性質を有するもの）に限られ、移転費用の補償は含まれない。

**国税通則法68条（重加算税）**：納税者が課税標準等の計算の基礎となる事実の全部又は一部を隠蔽し、又は仮装した場合、過少申告加算税等に代えて重加算税が課される。

---

## 13155: 法人税更正処分等取消請求事件

**福岡地方裁判所 平成30年5月24日判決 | 棄却（納税者敗訴）**

### 結論

原告らの請求を全て棄却。食肉卸売業を営む原告らの現金仕入れの一部が架空であると認定され、法人税・消費税の更正処分、重加算税賦課決定処分及び青色申告承認取消処分はいずれも適法である。

### 事案の概要

原告Aは肉・野菜・水産魚介類の卸売及び小売業を目的とする株式会社で、鹿児島市に本店を置き、全国に10か所の営業所を有していた。原告Cは同様の事業を営む別会社であるが、実質的に原告Aの熊本営業所として機能していた。

税務調査の結果、原告らの各営業所における現金仕入れの一部が架空であるとして、平成18年12月期から平成24年12月期（原告A）、平成18年6月期から平成24年6月期（原告C）について、法人税及び消費税の各更正処分並びに重加算税の各賦課決定処分がなされた。また、原告Aについては青色申告承認取消処分もなされた。

### 争点

1. 原告らの現金仕入れの一部が架空であるか
2. 重加算税の賦課要件（隠蔽・仮装行為）を満たすか
3. 消費税の仕入税額控除の要件を満たすか
4. 青色申告承認取消処分の適法性

### 裁判所の判断

1. **現金仕入れの架空性について**
   - 原告らの各営業所では、領収証に基づく現金仕入れが行われていた
   - しかし、領収証の記載内容、発行者の実在性、取引実態等を精査した結果、相当数の領収証が真正なものではないと認定
   - 領収証の発行者として記載された者が存在しない、または取引を否定している事例が多数存在
   - 仕入れの実態を裏付ける納品書、検収記録等の証拠が存在しない
   - したがって、現金仕入れの一部は架空である

2. **重加算税について**
   - 架空の仕入れを計上することは、課税標準等の計算の基礎となる事実を仮装したものである
   - 各営業所の責任者が組織的に架空仕入れを行っていた
   - 国税通則法68条1項の「隠蔽又は仮装」に該当する

3. **消費税の仕入税額控除について**
   - 消費税法30条7項により、仕入税額控除を受けるためには帳簿及び請求書等の保存が必要
   - 架空仕入れについては、適正な帳簿・請求書等が存在しない
   - したがって、仕入税額控除は認められない

4. **青色申告承認取消処分について**
   - 架空仕入れの計上は、帳簿書類に真実に反する記載をしたものである
   - 法人税法127条1項3号の取消事由に該当し、処分は適法

### 条文・通達の解説

**消費税法30条（仕入れに係る消費税額の控除）**：課税仕入れに係る消費税額を控除するためには、帳簿及び請求書等の保存が要件とされる。架空仕入れについては、実際の取引が存在しないため、この要件を満たさない。

**法人税法127条1項3号（青色申告の承認の取消し）**：帳簿書類に取引の全部又は一部を隠蔽し又は仮装して記載した場合、青色申告の承認を取り消すことができる。

---

## 13159: 法人税更正処分取消等請求控訴事件

**東京高等裁判所 平成30年6月28日判決 | 棄却（納税者敗訴・控訴棄却）**

### 結論

控訴人ら（納税者側）の控訴を全て棄却。原審判決を維持し、債権譲渡契約の有効性、匿名組合契約に基づく利益分配請求権の益金算入時期、重加算税の賦課等に関する課税処分はいずれも適法である。

### 事案の概要

本件は、複数の争点を含む複雑な法人税事案の控訴審である。主要な争点は以下のとおりである。

1. **債権譲渡契約に関する争点**：控訴人Bの被合併法人であるD社は、E社との間で債権譲渡契約を締結し、貸付債権を取得した。その後、不動産売買契約等により債権が回収されたが、控訴人らは、本件債権は誤って譲渡対象に含まれたものであり、D社に帰属しないと主張した。

2. **匿名組合契約に関する争点**：控訴人Aは、その100%子会社である控訴人Cとの間で匿名組合契約を締結し、出資を行った。処分行政庁は、控訴人Cに営業利益が生じた時点で控訴人Aの利益分配請求権が確定し、益金に算入すべきとした。控訴人らは、利益分配の通知・実行まで権利は確定しないと主張した。

### 争点

1. 本件債権がD社に帰属するか（債権譲渡契約の誤記・合意解除の有無）
2. 匿名組合契約に基づく利益分配請求権の確定時期
3. 匿名組合分配金に受取配当益金不算入の規定が適用・類推適用されるか
4. 重加算税の賦課要件を満たすか

### 裁判所の判断

1. **債権帰属について**
   - 債権譲渡契約書には、本件債権が譲渡対象として明確に記載されている
   - E社が混乱状態にあったとしても、D社は別法人であり、譲渡対象債権の確認は複数回行われている
   - 本件合意書等に債権譲渡契約の変更に関する明示的記載はなく、譲渡価格の精算処理もなされていない
   - したがって、本件債権はD社に帰属し、債権回収益が生じる

2. **利益分配請求権の確定時期について**
   - 法人税法上、収益はその実現があった時、すなわち収入すべき権利が確定した時の属する年度に計上すべきである
   - 本件匿名組合契約では、営業者に生じた利益は出資者に分配するとされている
   - 控訴人Cに営業利益が確定すると同時に、控訴人Aの利益分配請求権も確定する
   - 控訴人Cは控訴人Aの100%子会社であり、分配を怠ることは考えにくい
   - したがって、控訴人Cの計算期間末日に利益分配請求権は確定し、益金算入される

3. **受取配当益金不算入の類推適用について**
   - 受取配当益金不算入制度は、法人間の二重課税回避を目的とする
   - 匿名組合契約では、営業者の利益は匿名組合員への分配額控除後の残額とされる
   - そもそも二重課税の問題は生じないため、類推適用の余地はない

4. **重加算税について**
   - 本件出資取消処理は、不動産売却利益の計上と同日になされており、納税回避目的は明らか
   - 隠蔽・仮装行為に該当し、重加算税の賦課は適法

### 条文・通達の解説

**法人税法22条2項（益金の額）**：内国法人の各事業年度の益金の額に算入すべき金額は、資産の販売、役務の提供等に係る収益の額である。収益の計上時期は権利確定主義により判断される。

**匿名組合契約の税務処理**：匿名組合の営業者は、営業から生じた利益から匿名組合員への分配額を控除した残額を所得として申告する。匿名組合員は、分配を受けた利益を益金に算入する。利益分配請求権は、営業者の利益が確定した時点で確定する。
