# batch-303 (shard-09; 3 cases per file)
# cases: 13676, 13677, 13680

---

## 13676: 所得税通知処分等取消請求事件（東京地方裁判所 令和4年2月25日）

**主文の要旨**：原告の請求を棄却する。

### 事案

原告は、証券会社との商品先物取引により平成11年・12年に多額の利益を得たとして、所得税の決定処分・更正処分等（加算税を含む）を受けた。その後、原告は別件の損害賠償請求訴訟において証券会社との間で訴訟上の和解を成立させ、これを理由に国税通則法23条2項1号に基づく更正の請求をした。税務署長が「更正すべき理由がない」旨を通知したため、その取消しを求めて本件訴訟を提起した。

### 争点

- 別件訴訟上の和解が国税通則法23条2項1号の「判決と同一の効力を有する和解」に該当するか
- 当該和解により、課税標準等の計算の基礎となった事実が「異なることが確定した」といえるか
- 更正すべき理由があるか

### 判断（要旨）

- 国税通則法23条2項1号の更正の請求は、申告等の基礎となった事実関係が判決等により「異なることが確定した」場合に限って認められる
- 民事上の紛争解決・清算のための和解であっても、それにより課税上の事実が遡及的に消滅するわけではない
- 本件和解は、課税処分の基礎となった取引損益の事実認定を税務上変更させる性質を有しない
- 和解によって課税処分の前提となる事実関係が覆されたとはいえず、更正すべき理由は認められない
- したがって、通知処分は適法である

### 実務メモ

- 民事訴訟上の和解が成立しても、それが直ちに国税通則法23条2項1号の「判決と同一の効力を有する和解」として課税関係を遡及的に変更する根拠にはならない
- 同号の適用には、和解の内容が課税標準等の基礎事実を「異なることが確定」させるものである必要がある
- 課税処分後に別件で和解・判決を得ても、更正の請求で救済されるかは和解・判決の内容次第である

---

## 13677: 更正すべき理由がない旨の通知処分取消請求事件（東京地方裁判所 令和4年2月25日）

**主文の要旨**：原告の請求を棄却する。

### 事案

原告は、税務調査を受ける過程で平成24年分の贈与税申告書（母からの1000万円の贈与）を提出した。その後、原告は贈与の事実自体が存在しなかったとして更正の請求をしたが、税務署長は更正の請求期間を経過しているとして「更正すべき理由がない」旨の通知処分をした。原告はこの通知処分の取消しを求めて出訴した。

### 争点

- 更正の請求が法定期間内（国税通則法23条1項、相続税法32条2項）にされたか
- 期間経過後であっても、国税通則法23条2項3号・同法施行令6条所定の「やむを得ない理由」に該当するか
- 税理士との関係や申告書への押印経緯が「やむを得ない理由」を構成するか

### 判断（要旨）

- 贈与税の更正の請求期間は法定申告期限から6年であり、本件更正の請求は当該期間経過後にされたものである
- 施行令6条所定の「やむを得ない理由」とは、帳簿書類の押収等により計算ができなかった場合など客観的に請求が不可能であった事情を指す
- 原告が主張する税理士との利益相反、説明不足、押印経緯等の事情は、上記「やむを得ない理由」には該当しない
- 期間制限の例外を認める要件は厳格に解されるべきであり、主観的な事情では足りない
- したがって、通知処分は適法である

### 実務メモ

- 贈与税の更正の請求期間は法定申告期限から6年と法定されており、期間経過後の救済は極めて限定的である
- 施行令6条の「やむを得ない理由」は、客観的に請求が不可能であった場合に限られ、税理士との関係や主観的事情では認められない
- 申告時に内容を十分確認せず押印した場合でも、事後的な更正の請求で救済されるとは限らない

---

## 13680: 法人税更正処分等取消請求事件（令和4年3月2日）

**主文の要旨**：原告の請求を棄却する。

### 事案

原告は、香港に本店を有する外国法人B社の株式を10%以上保有する内国法人である。原告は、B社が外国子会社合算税制（租税特別措置法66条の6）の適用除外要件を満たすことを前提に法人税等の申告をしていた。これに対し税務署長は、B社は特定外国子会社等に該当し、かつ香港において「事業の管理、支配及び運営を自ら行っている」とはいえないとして、B社の課税対象金額を原告の益金に算入する更正処分等を行った。原告がその取消しを求めた。

### 争点

- B社が特定外国子会社等（税負担割合が一定以下の外国関係会社）に該当するか
- B社が適用除外要件のうち実体基準・管理支配基準を満たすか
- B社の事業の管理・支配・運営が香港において自ら行われていたか
- 所在地国基準の充足の有無

### 判断（要旨）

- 外国子会社合算税制の適用除外要件は、正常な海外事業活動を行う外国子会社を課税対象から除外し、租税回避目的の子会社を捕捉する趣旨である
- 管理支配基準は、事業の管理・支配・運営が本店所在地国において自ら行われていることを要求する
- 本件では、B社の意思決定や管理機能の実質が香港外（中国本土等）で行われていた事情が認められた
- B社が香港において自ら事業の管理・支配・運営を行っていたとは認められず、適用除外要件を満たさない
- したがって、外国子会社合算税制に基づく更正処分及び加算税の賦課決定処分は適法である

### 実務メモ

- 管理支配基準の判断は形式ではなく実態に即して行われ、意思決定や管理機能が実質的にどこで行われているかが重視される
- 本店所在地国に役員や従業員が存在しても、実質的な管理・支配が他国で行われていれば基準を満たさない可能性がある
- 香港子会社を利用したスキームでは、中国本土との関係で管理支配の実態が問われやすい
- 適用除外の主張立証責任は納税者側にあり、実態を裏付ける証拠の整備が重要である

---
