# batch-307 (shard-09; 3 cases per file)
# cases: 13691, 13696, 13697

---

## 13691: 相続税の更正処分及び過少申告加算税の賦課決定処分取消請求控訴事件（仙台高等裁判所 2022-03-23）

**主文の要旨**: 本件控訴を棄却する（納税者敗訴・原審維持）。

### 事案
被相続人から相続した控訴人が、同族会社（本件会社）に対する貸付金債権約3億7000万円について、評価通達205（回収不可能又は著しく困難な債権）に該当するとして時価0円で相続税を申告した。処分行政庁は評価通達204に基づき額面評価し更正処分等を行った。原審が控訴人の請求を棄却したため、控訴人が控訴した。

### 争点
- 本件貸付金債権が評価通達205柱書「その他その回収が不可能又は著しく困難であると見込まれるとき」に該当するか
- 本件会社の経常損失・債務超過状態をもって回収不能と評価できるか
- 相続人の資力（米軍基地用地等の遺産）を考慮することの可否

### 判断（要旨）
- 債務者が経常損失を計上し、又は債務超過であることから、直ちに債権が回収不能になるものではない
- 本件会社は相続開始前数年間3000万円超の売上高があり、相続開始時も宿泊事業を継続していた
- 事業継続の基盤となるホテル建物・敷地は確保され、強制執行等の状況になかった
- 本件貸付金債権の返済に履行遅滞はなく、役員報酬・地代等も約定どおり支払われていた
- 本件会社が経済的に破綻していることが客観的に明白であったとは認められない
- 相続人が年2億円超の賃料収入を生む米軍基地用地等を承継した事情も考慮要素となりうる

> 一般的に債務者が経常損失を計上し、又は債務超過であることから、直ちに債権が回収不能になるものではない

### 実務メモ
- 評価通達205の「回収不可能又は著しく困難」の認定には、債務者の支払不能・経済的破綻が客観的に明白であることが必要
- 債務超過・経常損失のみでは要件充足とならず、事業継続状況、資産保全状況、返済履行状況等を総合考慮
- 債権者側（相続人）の資力・資産状況も、債務者の運転資金確保可能性として間接的に考慮されうる

---

## 13696: 法人税及び地方法人税更正処分等取消請求控訴事件（東京高等裁判所 2022-03-30）

**主文の要旨**: 本件控訴を棄却する（納税者敗訴・原審維持）。

### 事案
A社は吸収分割により分割法人から事業を承継した後、試験研究費の特別控除（租税特別措置法42条の4）の計算において、分割法人の売上金額・試験研究費の額を加味せずに法人税等を申告した。税務署長は施行令27条の4に従い分割法人の数値を加味すべきとして更正処分等を行った。原審が請求を棄却したため、A社を合併した控訴人が控訴した。

### 争点
- 租税特別措置法42条の4第9項の政令委任の範囲・有効性
- 施行令・施行規則が定める届出期限規定の法的根拠
- 分割承継法人における試験研究費特別控除の計算方法
- 東京高裁平成7年判決の射程

### 判断（要旨）
- 法42条の4第9項は、増加型特別控除の適用を受けようとする分割承継法人等について、手続的事項を含む専門的・技術的かつ細目的な事項を政令に委任している
- 施行令・施行規則の期限規定は有効な委任に基づく
- 分割承継法人には認定申請・届出が必要であり、これを欠く場合は全額加算方式が適用される
- 租税法規の解釈は原則として文理解釈によるべきであり、みだりに拡張解釈や類推解釈をすることは許されない
- 限定解釈についても慎重でなければならない

> 租税法規の解釈は、原則として文理解釈によるべきであり、文理解釈によって規定の意味内容を明らかにすることが困難である場合に規定の趣旨や目的に照らしてその意味内容を明らかにすることがあるとしても、その結果、みだりに拡張解釈や類推解釈をすることは許されない

### 実務メモ
- 試験研究費特別控除において、分割承継法人は施行規則所定の届出期限を遵守する必要がある
- 届出を欠いた場合、全額加算方式が適用され、控除額が不利に計算される
- 租税特別措置の適用には手続要件の厳守が求められる

---

## 13697: 更正処分取消等請求事件（水戸地方裁判所 2022-04-08）

**主文の要旨**: 原告の請求をいずれも棄却する（納税者敗訴）。

### 事案
解体事業を営む原告は、建物解体工事により発生した有価物（金属スクラップ等）の売却代金を益金に算入せず、法人税・消費税の申告を行った。また、D社からの入金の一部について過剰入金として返金したと主張した。処分行政庁は、有価物売却代金及びD社からの金員を益金に算入すべきとして更正処分等を行い、併せて青色申告承認取消処分を行った。

### 争点
- 有価物売却代金は原告に帰属し益金に算入されるか（施主帰属か原告帰属か）
- D社からの金員は工事代金か過剰入金か
- 重加算税の賦課要件（隠蔽・仮装）該当性
- 法人税法127条1項3号の青色申告承認取消事由の有無

### 判断（要旨）
- 有価物の売却代金は原告に帰属し、益金の額に算入される
- D社からの金員は工事代金であり、過剰入金として返金された事実は認められない
- 原告は有価物売却代金を帳簿書類に記載しなかったことから、売却の事実を隠蔽したものといえる
- 法人税法127条1項3号の「隠蔽」「仮装」は重加算税の場合と同義であり、本件は「隠蔽」に該当
- 青色申告承認取消処分及び重加算税賦課決定処分はいずれも適法

> 原告は、本件有価物の売却代金を帳簿書類に記載しなかったものであるから、本件有価物を売却した事実を隠蔽したものといえ、この行為が上記「隠蔽」に該当することは明らかである

### 実務メモ
- 解体工事で発生する有価物の帰属は契約内容により判断されるが、原則として解体業者に帰属する場合が多い
- 売上の帳簿不記載は「隠蔽」に該当し、重加算税及び青色申告承認取消の対象となる
- 過剰入金の返金を主張する場合、客観的な証拠（返金記録、相手方の確認等）が必要

---
