# batch-309 (shard-09; 3 cases per file)
# cases: 13706, 13707, 13710

---

## 13706: 独立当事者参加控訴事件（東京高等裁判所 2022-04-20）

**主文の要旨**：本件各控訴をいずれも棄却する。

### 事案
原審原告（法人）は、平成24年12月から平成25年2月にかけて実施された税務調査において調査担当者による違法行為があったと主張し、国家賠償法1条1項に基づき慰謝料7億2450万円の支払いを求めるとともに、処分行政庁がした法人税・消費税・地方消費税に係る重加算税の各賦課決定処分、源泉所得税に係る不納付加算税の賦課決定処分等の取消しを求めた。原審参加人（原審原告の役員）は独立当事者参加を申し出た。原審が処分取消訴訟を却下し、国賠請求を棄却し、参加申出を却下したため、原審原告及び原審参加人が控訴した。

### 争点
- 本件各処分の取消訴訟の適法性（出訴期間の遵守等）
- 本件調査担当者による税務調査が国家賠償法上違法となるか否か
- 調査担当者による欺罔行為・強要の有無
- 質問応答書への署名押印の強要の有無
- 原審参加人の独立当事者参加の申出が民訴法47条1項の要件を満たすか

### 判断（要旨）
- 本件各処分の取消しを求める訴えは、いずれも不適法である
- 原審原告の国家賠償請求はいずれも理由がない
- 質問応答書には原審原告代表者の署名押印に加え調査担当者の署名押印もあり、署名押印の強要があったとの主張は不自然でにわかに信用し難い
- 原審参加人が主張する未払役員報酬の請求権は、本件訴訟の結果によって直接影響を受けるものではない
- 独立当事者参加の申出は、民訴法47条1項の要件（訴訟の結果によって権利が害される第三者等）を満たさず不適法である
- 原判決は相当であり、本件各控訴はいずれも理由がない

### 実務メモ
- 処分取消訴訟は出訴期間等の訴訟要件を満たさなければ却下される
- 税務調査の違法を理由とする国賠請求では、違法行為の具体的立証が必要
- 独立当事者参加には民訴法47条1項の厳格な要件充足が求められる
- 質問応答書は調査担当者も署名押印しており、強要の主張は慎重に検討される

---

## 13707: 法人税更正処分等取消請求上告受理事件（最高裁判所 2022-04-21）

**主文の要旨**：本件上告を棄却する。

### 事案
フランス法人を究極の親会社とする国際的企業グループに属し、音楽事業を営む日本法人（同族会社）が、平成20年12月期から平成24年12月期までの各事業年度において、同グループに属する外国法人からの借入れ（本件借入れ）に係る支払利息を損金の額に算入して法人税の確定申告を行った。麻布税務署長は、法人税法132条1項（同族会社の行為計算否認規定）を適用し、当該損金算入を否認して各更正処分及び過少申告加算税の各賦課決定処分を行った。納税者が処分取消しを求め、一審・控訴審とも納税者が勝訴し、国が上告した。

### 争点
- 本件借入れが法人税法132条1項にいう「これを容認した場合には法人税の負担を不当に減少させる結果となると認められるもの」に該当するか
- 同項における「不当性要件」の判断枠組み（経済的合理性を欠くか否かの判断の在り方）
- グループ内組織再編の一環として行われた借入れの経済的合理性の有無

### 判断（要旨）
- 本件借入れは、法人税法132条1項にいう「これを容認した場合には法人税の負担を不当に減少させる結果となると認められるもの」には当たらない
- 国の上告理由は、同項の不当性要件充足を主張し処分の適法性を主張するものであったが、認められなかった
- 原判決は相当であり、上告を棄却する

> 本件借入れは、法人税法１３２条１項にいう「これを容認した場合には法人税の負担を不当に減少させる結果となると認められるもの」には当たらないというべきである。

### 実務メモ
- 法人税法132条1項の適用には、行為・計算が「不当に」法人税負担を減少させることが必要
- グループ内取引であっても、正当な事業目的と経済的合理性があれば否認されない
- 同族会社の行為計算否認規定は、同族会社と非同族会社の税負担の公平を図る趣旨
- 国際的企業グループにおける資金調達スキームの税務上の取扱いに関する重要先例

---

## 13710: 法人税更正処分取消請求上告及び上告受理事件（最高裁判所 2022-04-28）

**主文の要旨**：本件上告を棄却する。上告審として受理しない。

### 事案
法人税の更正処分の取消しを求める訴訟において、納税者が敗訴した控訴審判決に対し、上告及び上告受理申立てがなされた事案である。本文からは具体的な事実関係や争点の詳細は明らかではない。

### 争点
- 上告理由として主張された憲法違反の有無
- 上告受理申立ての理由が法令解釈に関する重要事項を含むか

### 判断（要旨）
- 民事事件について最高裁判所に上告をすることが許されるのは民訴法312条1項又は2項所定の場合に限られる
- 本件上告の理由は違憲をいうが、その実質は単なる法令違反を主張するものであり、上記各項に規定する事由に該当しない
- 上告受理申立てについても、民訴法318条1項により受理すべきものとは認められない

### 実務メモ
- 最高裁への上告は憲法違反等の限定された事由がある場合に限られる
- 違憲を主張しても実質が法令違反であれば上告理由とならない
- 上告受理申立ては法令解釈に関する重要事項がなければ受理されない
- 本件は詳細な判示がなく、先例としての射程は限定的と考えられる

---
