# batch-311 (shard-09; 3 cases per file)
# cases: 13739, 13741, 13744

---

## 13739: 所得税更正処分等取消請求控訴事件（東京高等裁判所 2022-07-27）

**主文の要旨**：本件控訴を棄却する（課税処分は適法、納税者敗訴）

### 事案
控訴人（日本居住者）は、香港法人A社の株式約14.66%を保有し、同社のCEOを務めていた。A社はさらに香港法人B社の株式約94%を保有。控訴人は平成24年分・25年分の所得税確定申告において、A社・B社がタックス・ヘイブン対策税制（措置法40条の4）の特定外国子会社等に該当しないとして申告したところ、税務署長から、両社が特定外国子会社等に該当するとして課税対象金額を雑所得に算入する更正処分及び過少申告加算税の賦課決定処分を受けた。原審敗訴を受け控訴。

### 争点
- 措置法40条の4第2項「外国関係会社」の解釈において、居住者等からの実質的支配・租税回避意図の推認を要件とすべきか
- A社の「主たる事業」は管理サービス業か株式保有業か（事業基準の充足）
- 適用除外記載書面の確定申告書への添付は、実体法的要件か手続的義務にすぎないか
- 措置法40条の4第7項の趣旨と法的効果

### 判断（要旨）
- 租税法規は侵害規範であり、予測可能性・法的安定性の観点から原則として文理解釈によるべきである
- 「外国関係会社」の意味は発行済株式総数のうち居住者等の保有割合等により客観的・形式的に判断でき、規定の文理から明らかであるから、趣旨目的による限定解釈は許されない
- A社の管理業務の実態、対価性、収入金額等を総合勘案すると、主たる事業は株式保有業と認められ、事業基準を満たさない
- 適用除外記載書面の添付は、制度創設当初から適用除外の実体法的効果を生ずるための手続的要件であり、単なる手続的義務ではない
- 控訴人の請求はいずれも理由がなく、原判決は相当である

> 租税法規は侵害規範であり、また、多数の納税者間の税負担の衡平を図る観点から、予測可能性、法的安定性が強く要請されるため、その解釈は原則として文理解釈によるべきである。

### 実務メモ
- タックス・ヘイブン対策税制における「外国関係会社」該当性は、株式保有割合等の形式基準で判断され、実質的支配や租税回避意図は考慮されない
- 事業基準の「主たる事業」判定では、管理契約に基づく業務の実態と対価性が重要な考慮要素となる
- 適用除外記載書面の添付は実体法的要件であり、添付がなければ適用除外規定は適用されない
- 平成29年最高裁判決の判断枠組み（収入金額、使用人数、固定施設等の総合勘案）が踏襲されている

---

## 13741: 法人税更正請求に対する更正すべき理由がない旨の通知処分取消等請求控訴事件（東京高等裁判所 2022-07-28）

**主文の要旨**：本件控訴を棄却する（義務付けの訴えは却下、通知処分取消請求は棄却）

### 事案
控訴人は非営利型法人（法人税法2条9号の2）に該当する一般財団法人である。旧公益法人制度下では利子・配当等が非課税であったが、公益法人制度改革に伴い一般財団法人に移行した結果、収益事業以外の事業に属する資産から生じた利子・配当等にも源泉徴収が行われるようになった。控訴人は平成29年度の法人税について、源泉徴収された所得税額約8340万円を含む約8395万円の還付を求める更正の請求をしたが、鹿児島税務署長から更正すべき理由がない旨の通知処分を受けた。

### 争点
- 公益法人と非営利型法人との課税上の取扱いの区別は憲法14条1項に違反するか
- 当該区別は憲法29条（財産権の保障）に違反するか
- 厳格な審査基準を適用すべき事案か
- 更正処分の義務付けの訴えは適法か

### 判断（要旨）
- 租税法の定立については、立法目的が正当であり、課税要件等の定めが目的との関連で著しく不合理であることが明らかでない限り、憲法14条1項・29条等に違反しない
- 公益法人と非営利型法人との課税上の区別は、立法目的に合理性が認められ、著しく不合理とはいえない
- 控訴人は自ら公益法人ではなく一般財団法人への移行を選択したのであり、自己の意思・努力によって選択できない事由による区別ではない
- 課税により直接制約される権利は財産権であり、公益事業遂行の自由が制約されたとはいえない
- 義務付けの訴えは不適法として却下

> 控訴人が公益法人制度改革に伴う税制改正に伴って課税上の優遇措置を受けられなくなったのは、控訴人自身が公益法人ではなく一般財団法人への移行を選択した結果であって、控訴人が自らの意思や努力によって選択することのできない事由による区別とはいえない。

### 実務メモ
- 旧公益法人から一般財団法人に移行した場合、利子・配当等への課税上の優遇措置は失われる
- 公益認定を受けて公益法人となるか、一般法人に移行するかは法人の選択であり、その結果としての課税上の差異は合憲
- 租税法における区別の合憲性審査は、立法裁量を広く認める緩やかな基準による
- 義務付けの訴えの適法要件に注意が必要

---

## 13744: 法人税更正処分等取消請求上告及び上告受理事件（最高裁判所 2022-08-08）

**主文の要旨**：本件上告を棄却する。本件を上告審として受理しない。

### 事案
法人税更正処分等の取消しを求めた訴訟について、原審で敗訴した納税者が上告及び上告受理申立てを行った事案。本文からは原審の具体的な事案内容を確認できない。

### 争点
- 上告理由が民訴法312条1項又は2項所定の事由に該当するか
- 上告受理申立てが民訴法318条1項により受理すべき事案か

### 判断（要旨）
- 上告理由は理由の不備・食違いを主張するが、その実質は事実誤認又は単なる法令違反の主張であり、民訴法312条1項・2項の事由に該当しない
- 上告受理申立ての理由によれば、民訴法318条1項により受理すべきものとは認められない
- 上告棄却、上告不受理

### 実務メモ
- 最高裁への上告は、憲法違反又は民訴法312条所定の絶対的上告理由がある場合に限られる
- 事実誤認や単なる法令違反は上告理由とならない
- 上告受理申立ては、法令解釈に関する重要事項を含む場合に受理される
- 本件は形式的判断のみで、実質的な法的判断は示されていない

---
