# batch-313 (shard-09; 3 cases per file)
# cases: 13756, 13758, 13770

---

## 13756: 源泉所得税納税告知処分取消等請求事件（東京地方裁判所 2022-09-14）

**主文の要旨**: 原告の請求をいずれも棄却する（納税者敗訴・課税処分維持）

### 事案
イベントプロモート事業を営む原告は、平成27年2月から平成30年10月にかけて、国内公演のため外国音楽家を招聘した際、音楽家のマネジメントを行う外国芸能法人等に対し、出演料とは別に渡航費・機材運送費等の諸雑費を支払った。原告はこれらの支払について源泉徴収をしなかったところ、川崎南税務署長から納税告知処分及び不納付加算税の賦課決定処分を受けたため、その取消しを求めて提訴した。

### 争点
- 本件各支払額（渡航費等）は「人的役務の提供に係る対価」（所得税法161条1項6号）に該当し、源泉徴収の対象となるか
- 源泉徴収の対象は収入金額の総額か、それとも純所得（必要経費控除後）か
- 所得税基本通達161-19第2文（滞在費・旅費等の直接支払いを対価に含めない取扱い）の適用があるか
- 本件各支払額についての源泉徴収は租税条約に抵触するか

### 判断（要旨）
- 「人的役務の提供に係る対価」の源泉徴収は、収入金額の総額を対象とするものであり、純所得を対象とするものではない
- 外国事業者が純所得課税を受けるためには、非居住者として総合課税の対象となる所得税又は法人税の確定申告をしなければならず、支払者に純所得についての源泉徴収義務を負わせているとは解されない
- 所得税基本通達161-19第2文の趣旨は、役務提供を受ける者が直接支払う滞在費等は、役務提供者を自己の支配下に置くためのものであり、役務提供者に経済的利益が生じたとみることが妥当しない場合があるからである
- 本件各支払は外国芸能法人等に対するものであり、上記通達の適用場面とは異なる
- 本件各支払額についての源泉徴収は租税条約に抵触しない
- 原告は本件各支払額に20.42%の税率を乗じた源泉所得税等を納付する義務を負っていた

> 「人的役務の提供に係る対価」の支払を受けた外国事業者は、同「対価」について、最終的に純所得課税を受けることができるものの、そのためには、外国事業者において、非居住者の総合課税の対象となる所得税又は法人税の確定申告をしなければならない。

### 実務メモ
- 外国芸能人等への支払において、出演料とは別に支払う渡航費・機材費等も「人的役務の提供に係る対価」として源泉徴収の対象となり得る
- 通達161-19第2文の「直接支払い」の適用は、支払者が宿泊施設・交通機関等に直接支払う場合に限られ、外国芸能法人等を経由した支払いには適用されない
- 外国事業者が純所得課税を受けるには、自ら確定申告を行い、源泉税の還付を受ける必要がある

---

## 13758: 相続税決定処分取消等請求事件（大阪地方裁判所 2022-09-22）

**主文の要旨**: 原告の請求をいずれも棄却する（納税者敗訴・課税処分維持）

### 事案
平成28年11月に死亡した被相続人乙の相続人である原告は、被相続人が丙に対して有していた貸金債権（相続開始時の総額約6億2195万円）等を相続したにもかかわらず、相続税の申告をしなかった。芦屋税務署長は、令和2年6月1日付けで原告に対し、相続税の決定処分及び無申告加算税の賦課決定処分を行った。原告はこれらの処分の取消しを求めて提訴した。

### 争点
- 本件各処分の理由の提示が行政手続法14条1項に違反するか
- 調査手続に本件各処分を取り消すべき調査の懈怠があるか
- 本件各貸金債権の評価額の妥当性（回収不能・困難として減額すべきか）

### 判断（要旨）
- 行政手続法14条1項の理由提示の程度は、処分の根拠法令の規定内容、処分基準の存否・内容・公表の有無、処分の性質・内容、原因となる事実関係の内容等を総合考慮して決定すべきである（最判平成23年6月7日参照）
- 相続財産である貸付金債権の評価は、評価通達204により元本と既経過利息の合計額で評価し、評価通達205により回収不能・困難な場合は減額する
- 本件通知書の記載は、行政手続法14条1項の要求する理由の提示として欠けるところはない
- 税務調査の方法や対象等の選択については、税務署長に広範な裁量権が認められる
- 調査手続の瑕疵が課税処分の取消原因となるのは、その瑕疵が重大である場合（調査が全く行われていないか、全く調査に基づかずにされたのと同視できる場合）に限られる
- 芦屋税務署の担当職員は、貸金債権に係る契約書、訴訟資料、丙の確定申告書等を収集しており、調査の懈怠は認められない

> 調査手続の欠缺又は不足の瑕疵が課税処分の取消原因となるのは、その瑕疵が重大である場合、すなわち、当該課税処分に当たり調査手続が全く行われていないか、当該課税処分が全く調査に基づかずにされたのと同視することができるような場合に限られる。

### 実務メモ
- 相続税の決定処分における理由提示は、評価通達の適用関係と評価額の算定根拠が示されていれば、必ずしも評価判断に至った詳細な過程まで記載する必要はない
- 税務調査の方法・範囲は税務署長の広範な裁量に委ねられており、債務者への面接調査を行わなかったことのみでは調査の懈怠とはならない
- 貸付金債権の回収困難性を主張する場合、債務者の資産状況等を具体的に立証する必要がある

---

## 13770: 法人税更正処分等取消請求上告及び上告受理事件（最高裁判所 2022-11-11）

**主文の要旨**: 本件上告を棄却する。本件を上告審として受理しない。

### 事案
法人税の更正処分等の取消しを求める訴訟について、原告（上告人）が高等裁判所の判決を不服として最高裁判所に上告及び上告受理申立てを行った事案である。原審までの具体的な事実関係及び争点の詳細は、本決定文からは明らかでない。

### 争点
- 上告理由（違憲、理由の不備・食違い）が民訴法312条1項又は2項所定の上告事由に該当するか
- 上告受理申立てが民訴法318条1項により受理すべき事案か

### 判断（要旨）
- 民事事件について最高裁判所に上告をすることが許されるのは、民訴法312条1項（憲法違反）又は2項（絶対的上告理由）所定の場合に限られる
- 本件上告の理由は、違憲及び理由の不備・食違いを主張するが、その実質は単なる法令違反を主張するものであり、明らかに上記各項に規定する事由に該当しない
- 上告受理申立ての理由によれば、本件は民訴法318条1項により受理すべきものとは認められない

### 実務メモ
