# batch-314 (shard-09; 3 cases per file)
# cases: 13772, 13774, 13776

---

## 13772: 法人税更正処分等取消請求控訴事件（東京高等裁判所 2022-11-17）

**主文の要旨**：本件控訴を棄却する（原告敗訴・課税処分維持）。

### 事案
内国法人である控訴人が、香港所在の子会社Bについて外国子会社合算税制（タックスヘイブン対策税制）の適用除外要件（管理支配基準）を満たすと主張し、同税制を適用してされた法人税・復興特別法人税の各更正処分及び過少申告加算税の各賦課決定処分の取消しを求めた。Bは、中国東莞市のM工場で製造された焼結部品を香港等のユーザーに販売する会社であり、香港三商社（B・C他）とM工場による製販スキームの一角を担っていた。原審が請求を棄却したため、控訴人が控訴した。

### 争点
- Bが管理支配基準（措置法66条の6第3項）を充足するか
- Bの董事である乙の営業活動がBの職務執行として評価できるか
- 平成29年改正後の措置法の規定を管理支配基準の判断に考慮すべきか
- 本件調査手続（質問応答調書の作成過程等）に重大な違法があったか

### 判断（要旨）
- 管理支配基準は、特定外国子会社等が本店所在地国において事業活動を行う実体があるか、機能的（管理支配的）側面から独立企業としての実体を備えているかという観点から判断すべきである
- Bの董事長兼総経理（丁・戊）はM工場に常駐し、M工場の経営管理全般を行っていたが、これはBの香港における管理支配を基礎づけるものではない
- 乙が継続的に行っていた新規ユーザー開拓等の営業活動は、専らCの董事兼総経理としての職務執行であり、Bの董事としての職務執行とは評価できない
- 平成29年改正は所在地国基準に関するものであり、管理支配基準の判断に考慮すべきものではない
- 質問応答調書の作成過程に関する控訴人の主張は、本件調査手続に重大な違法があったとは認められない

> 乙が継続的に行っていた新規ユーザーの開拓等の営業活動は、専らＣの董事兼総経理としての職務執行として行われたというべきであって、Ｂの董事としての職務執行として行われたと評価することはできない。

### 実務メモ
- 管理支配基準の判断において、役員が複数法人の役職を兼務する場合、当該役員の活動がいずれの法人のための職務執行かを厳格に区別される
- 商社的立場の法人とメーカー的立場の法人が利益相反関係にある場合、役員報酬の有無・営業活動の帰属先等が重要な判断要素となる
- 法改正後の規定を改正前の事業年度に遡及適用する主張は認められない

---

## 13774: 法人税額等の更正処分等取消請求事件（東京地方裁判所 2022-11-18）

**主文の要旨**：原告の請求をいずれも棄却する（原告敗訴・課税処分維持）。

### 事案
非営利型法人である一般財団法人の原告が、関連会社Bに対する金銭貸付（2億3000万円、年利1.6%）の利息を収益事業に含めずに申告し、また預貯金利子等について源泉徴収された所得税の還付を求めて更正の請求をしたところ、鹿児島税務署長から、金銭貸付は収益事業に該当し、預貯金利子等の所得税は還付対象外であるとして更正処分等を受けたため、その取消しを求めた事案。

### 争点
- 本件税制改正（公益法人制度改革に伴う所得税法改正）の憲法14条適合性
- 本件金銭貸付が法人税法施行令5条1項3号の「金銭貸付業」に該当するか
- 非営利型法人の預貯金利子等に係る源泉所得税の還付請求の可否
- 本件調査手続の適法性

### 判断（要旨）
- 金銭貸付業は、貸金業法上の登録業者に限らず、特定又は少数の者に対する貸付けであっても、継続している限り該当する
- 原告のBに対する2億3000万円の貸付け（年間利息368万円）は金銭貸付業に該当し、収益事業である
- 非営利型法人の預貯金利子等は収益事業から生じた所得ではないため法人税は課されないが、源泉徴収された所得税は法人税法68条1項により法人税額から控除できない
- 本件税制改正は憲法14条1項に違反しない
- 税務調査の手続は、社会通念上相当な限度にとどまる限り税務職員の合理的選択に委ねられており、本件調査に重大な違法はない

> 特定又は少数の者に対して貸し付けるものであっても、その貸付けが継続している限りは金銭貸付業に当たると解するのが相当である。

### 実務メモ
- 非営利型法人が関連会社に継続的に金銭を貸し付ける場合、貸金業登録の有無にかかわらず「金銭貸付業」として収益事業課税の対象となりうる
- 非営利型法人の預貯金利子等は法人税非課税だが、源泉徴収された所得税の還付は受けられない（法人税額から控除する仕組みがないため）
- 税務調査手続の瑕疵は、重大な違法（刑罰法規抵触、公序良俗違反、濫用等）がない限り更正処分の取消事由とならない

---

## 13776: 損害賠償等請求控訴事件（東京高等裁判所 2022-11-29）

**主文の要旨**：本件控訴を棄却する（控訴人敗訴）。

### 事案
旧公益法人から一般財団法人（非営利型法人）に移行した控訴人が、平成27年3月期から令和2年3月期までの各事業年度に、収益事業以外の事業から生じた利子・配当等（本件預貯金利子等）について所得税合計約4億7272万円を源泉徴収されたことにつき、公益法人制度改革に伴う所得税法改正は憲法29条等に違反するとして、国家賠償法1条1項又は不当利得返還請求権に基づき、源泉徴収税額相当額の支払を求めた。原審が請求を棄却したため、控訴人が控訴した。

### 争点
- 所得税法11条1項及び別表第一の改正（一般財団法人の非営利型法人が受ける利子・配当等に所得税を課すこととした改正）が憲法29条・14条に違反するか
- 本件預貯金利子等に対する課税が法律上の原因を欠くか（不当利得の成否）

### 判断（要旨）
- 租税法の定立については、国の財政・社会経済・国民所得・国民生活等の実態に即した専門技術的判断が必要であり、立法府の政策的・技術的判断に委ねられる
- 本件改正行為は憲法29条に違反しない
- 本件改正行為は憲法14条1項に違反しない
- 本件預貯金利子等に対する課税は法律上の原因を有する
- 国家賠償請求・不当利得返還請求はいずれも理由がない

### 実務メモ
- 公益法人制度改革により旧公益法人から一般財団法人に移行した場合、非営利型法人であっても利子・配当等に対する所得税非課税の特例は適用されない
- 税制改正の憲法適合性については立法裁量が広く認められ、明白に不合理でない限り違憲とはならない
- 源泉徴収された所得税について、法律の規定に基づく課税である限り不当利得返還請求は認められない

---
