# batch-321 (shard-09; 3 cases per file)
# cases: 13827, 13828, 13830

---

## 13827: 所得税更正処分等取消請求事件（東京地方裁判所 2023-03-09）

**主文の要旨**：本件訴えのうち平成28年分各通知処分の取消しを求める部分を却下し、その余の請求を棄却する（納税者敗訴）。

### 事案
原告は接骨院経営・療養費代理請求業を営む個人事業者である。大月税務署長は、原告が所有していた高級車両（本件車両A・B）の譲渡所得計算において、当該車両が「使用又は期間の経過により減価する資産」に該当するとして取得価額から減価の額を控除し、また外貨預金口座の入出金による為替差損益を雑所得として総平均法に準ずる方法で計算した上で、平成27年分・28年分の所得税等について増額更正処分等を行った。原告はこれを不服として取消しを求めた。

### 争点
- 平成28年分各通知処分の取消請求に係る訴えの利益の有無
- 本件車両A・Bが減価償却資産に該当するか（「時の経過によりその価値の減少しない資産」の例外に当たるか）
- 為替差損益が雑所得と譲渡所得のいずれに該当するか
- 外貨の取得費計算において総平均法に準ずる方法を採用することの適法性
- 端数処理方法（小数点以下の切上げ）の適法性

### 判断（要旨）
- 平成28年分各通知処分は既に減額再更正等により取り消されており、訴えの利益を欠くため不適法である
- 高級車両であっても、社会通念上「美術品」に該当しない資産が「時の経過によりその価値の減少しない」例外に当たるのは、骨董品に類する長期間を経て確立した高い価値を維持する場合等に限られる
- 単に市場での希少性により数年単位で価格が高騰しているにすぎない車両は例外に該当せず、減価償却資産として取得費控除の対象となる
- 為替差損益は、外貨が決済手段としての性質を有することから、雑所得に該当する
- 外貨は銀行等を介して取引・管理され平均取得価格の計算が容易であることから、総平均法に準ずる方法には合理性が認められる

> 社会通念上「美術品」に該当しない資産が、なお「時の経過によりその価値の減少しない」資産に該当するといえるような例外的な場合とは、「骨とう」すなわち「古美術品、古文書、出土品、遺物等」に類するといえる程度の長期間を経てもなお確立した高い価値を維持しているような場合等に限られる。

### 実務メモ
- 高級クラシックカー等であっても、骨董品レベルの歴史的価値が確立していなければ減価償却資産として扱われる
- 外貨預金の為替差損益は雑所得として申告すべきであり、譲渡所得としての長期保有優遇は受けられない
- 外貨の取得原価計算は総平均法に準ずる方法が合理的とされる
- 美術品等の非減価償却資産の判定基準（基本通達2-14）は、車両等には直接適用されない

---

## 13828: 消費税及び地方消費税更正処分等取消請求事件（東京地方裁判所 2023-03-09）

**主文の要旨**：原告の請求をいずれも棄却する（納税者敗訴）。

### 事案
パレット製品を製造する原告会社は、射出成形機及び制御装置（本件各機械装置）をC社に発注した。原告は、本件各機械装置を平成28年5月31日以前に取得したことを前提として、法人税・地方法人税・消費税等の申告を行い、減価償却費の損金算入及び特別控除を受けた。岐阜北税務署長は、原告が当該事業年度内に機械装置を取得していないとして更正処分等を行った。原告はこれを不服として取消しを求めた。

### 争点
- 本件各機械装置の「取得」時期はいつか
- 請負契約における仕事の完成時期（発熱問題対策の完了と引渡し・所有権移転の関係）
- 原告所定の検収チェックシートによる検査・確認了承が仕事の完成合意に当たるか

### 判断（要旨）
- 原告とC社は、特殊な成形方法によりパレット製品を量産化できる程度の能力を有する射出成形機及び制御装置の製造を目的とする請負契約を締結した
- 機械装置は原告工場に搬入されたが、発熱問題が発生し、C社による対策が継続的に実施された
- 検収チェックシートによる検査・確認了承があっても、それをもって仕事の完成を確認する合意があったとは認められない
- 発熱問題対策が終了し、契約で求められた水準に達した時点で仕事が完成し、引渡し及び所有権移転がなされると解すべきである
- C社が契約水準の機械装置を完成させたのは平成29年7月ないし9月であり、原告の取得もその時期である
- したがって、平成28年5月期及び平成29年5月期における原告の申告は誤りであり、更正処分等は適法である

> 本件契約においては、発熱問題対策が終了し、上記の能力を有する射出成形機及び制御装置が完成すると同時に、Ｃ社から原告に、目的物の引渡しがされ、その所有権が移転すると解するのが相当である。

### 実務メモ
- 請負契約における減価償却資産の「取得」時期は、単なる搬入や形式的な検収ではなく、契約で求められた水準に達した時点で判断される
- 発熱問題等の不具合対策が継続している間は、仕事の完成とは認められない可能性が高い
- 検収チェックシートへの署名があっても、契約内容に照らして実質的な完成が認められなければ取得時期の根拠とならない
- 機械装置の特別控除適用時期の判断には、請負契約の内容と実際の完成状況を慎重に確認する必要がある

---

## 13830: 所得税更正処分取消等請求事件（東京地方裁判所 2023-03-14）

**主文の要旨**：原告の請求をいずれも棄却する（納税者敗訴）。

### 事案
原告は外国子会社（D社・E社）を保有する個人株主である。処分行政庁は、外国子会社合算税制（措置法40条の4）に基づき、原告の平成28年分から平成30年分の所得税等について更正処分及び過少申告加算税賦課決定処分を行った。その後、更正の除斥期間経過後に減額再更正処分がなされ、その際に当初処分の付記理由とは異なる理由（本件各理由）が考慮された。原告は、除斥期間経過後の理由差し替えは違法であると主張して取消しを求めた。

### 争点
- 更正処分の取消訴訟において、被告は付記理由と異なる理由を主張できるか
- 更正の除斥期間経過後に、当初処分の適法性を維持するために異なる理由を主張することは許されるか
- 外国子会社の1号所得金額及び5項法人所得税額の計算の正確性

### 判断（要旨）
- 課税処分の取消訴訟における審判対象は当該処分によって確定された税額の適否であり、処分理由は攻撃防御方法にすぎない
- 理由付記の趣旨は、行政庁の判断の慎重・公正を担保し恣意を抑制するとともに、納税者の不服申立てに便宜を与えることにある
- 被告が付記理由と異なる理由を主張することは原則として許されるが、納税者の訴訟上の防御活動に格別の不利益が生ずる場合は許されない
- 本件では、原告が訴訟前から関係書類を保有しており、防御に格別の不利益は生じない
- 除斥期間は新たな更正処分を制限するものであり、訴訟上の攻撃防御方法の提出自体を制限するものではない
- 減額再更正処分において増額事由が考慮されている場合でも、訴訟で異なる理由を主張することは許される

> 被告が、更正処分又は過少申告加算税の賦課決定処分の取消訴訟において、当該処分の適法性を根拠付ける事実として、当該処分に係る通知書に記載された理由と異なる理由を主張することは、原則として許されると解すべきであるが、通知書に記載された理由と異なる理由を主張することにより、納税者の訴訟上の防御活動に格別の不利益が生ずるような場合には、当該理由を主張することは許されない。

### 実務メモ
- 課税処分の取消訴訟では「総額主義」が採用され、理由の差し替えは広く許容される
- 除斥期間は新たな増額更正を制限するが、訴訟における理由主張まで制限するものではない
- 納税者側は、付記理由以外の論点についても訴訟で争われる可能性を想定して防御準備が必要
- 外国子会社合算税制の適用においては、納税引当金・法人所得税の計上時期や確定時期が重要な判断要素となる

---
