# batch-322 (shard-09; 3 cases per file)
# cases: 13832, 13836, 13840

---

## 13832: 法人税更正処分等取消請求事件（東京地方裁判所 2023-03-16）

**主文の要旨**: 原告の請求をいずれも棄却する。

### 事案
内国法人である原告は、シンガポール所在の外国法人（E社）の株式50％を保有していた。原告は、E社が外国子会社合算税制（措置法66条の6）の適用対象となる特定外国子会社等に該当しないとして法人税等の確定申告を行ったが、麹町税務署長は、原告の親族である非居住者（乙）が「特殊関係非居住者」に該当し、その保有株式を合算するとE社は特定外国子会社等に該当するとして、平成26年1月期から平成29年1月期の法人税・復興特別法人税・地方法人税の各更正処分及び過少申告加算税の賦課決定処分を行った。

### 争点
- 乙が措置法施行令39条の14第3項各号の「特殊関係非居住者」に該当するか
- 確定申告書への適用除外記載書面の添付が適用除外規定の適用要件か
- 適用除外記載書面を添付しなかったことに「やむを得ない事情」があるか
- E社が非関連者基準を充足するか
- 本件税務調査に違法性があるか

### 判断（要旨）
- 乙は原告代表者の兄弟であり、措置法施行令39条の14第3項1号の「特殊の関係」に該当する特殊関係非居住者と認められる
- 適用除外記載書面の添付は適用除外規定の適用を受けるための要件であり、添付がない場合は適用除外を受けられない
- 特殊関係非居住者該当性や特定外国子会社等該当性は、株式保有割合等から客観的に判断可能であり、原告がこの判断を怠り又は誤った場合に適用除外を受けられなくなることは不当ではない
- 調査結果の説明時に反論の機会を与えることを法的に義務付ける根拠はなく、本件調査は違法とはいえない
- 非関連者基準の充足の有無について判断するまでもなく、外国子会社合算税制の適用は適法

> 内国法人がこの判断を怠り、又は誤った場合に適用除外規定の適用を受けられなくなることが不当な結果であるとはいえず、原告の主張には理由がない。

### 実務メモ
- 特殊関係非居住者の判定は、居住者との親族関係等から客観的に行われ、納税者の認識の有無は考慮されない
- 外国子会社合算税制の適用除外を受けるには、確定申告書への適用除外記載書面の添付が必須であり、事後的な主張は認められにくい
- 海外に親族がいる場合、その保有株式が合算されて特定外国子会社等の判定に影響する可能性があるため、事前の確認が重要
- 税務調査において反論機会が与えられなくても、それだけで調査が違法となるわけではない

---

## 13836: 法人税更正処分等取消請求事件（東京地方裁判所 2023-03-23）

**主文の要旨**: 原告の請求をいずれも棄却する。

### 事案
味噌等の製造販売を目的とする内国法人である原告は、きょうだい3名（甲・乙・丙）を取締役として役員給与を支給していた。税務署長は、平成25年9月期から平成28年12月期の本件各役員給与について、法人税法34条2項に定める「不相当に高額な部分の金額」があるとして、法人税・復興特別法人税・地方法人税の各更正処分及び過少申告加算税の賦課決定処分を行った。原告は、法人税法34条2項及び施行令70条1号イの違憲性・違法性等を主張して処分の取消しを求めた。

### 争点
- 法人税法34条2項の憲法84条（租税法律主義）違反の有無
- 法人税法施行令70条1号イの委任範囲逸脱の有無
- 更正処分時と訴訟時で適正給与額の認定が異なることの違法性
- 本件各役員給与における「不相当に高額な部分の金額」の有無及びその額

### 判断（要旨）
- 法人税法34条2項の委任を受けた施行令70条1号イの規定は、一般的に是認し得る程度に具体的かつ客観的であり、憲法84条に違反しない
- 施行令70条1号イが職務執行の対価としての基準を定めたことは、法人税法の委任の趣旨に沿うものであり、委任の範囲を逸脱していない
- 処分行政庁と訴訟での被告とで適正給与額の算定が異なることは、施行令70条1号イの規定の性質上当然に想定されるものであり、違法ではない
- 裁判所が認定した「不相当に高額な部分の金額」は、いずれも更正処分で認定された金額以上であり、本件各更正処分は適法

> 法人税法施行令７０条１号イの規定は、法律により委任された課税要件を規定したものとして一般的に是認し得る程度に具体的で客観的なものであるというべきである。

### 実務メモ
- 役員給与の適正額の判断は、類似法人との比較等により行われ、一義的に確定することは困難であるため、更正処分時と訴訟時で異なる算定額が示されることがある
- 同族会社において親族間で役員給与を決定する場合、客観的な職務内容・責任に見合った金額設定が重要
- 「不相当に高額」の判断は、当該役員の職務内容、法人の収益状況、同種同規模法人の支給状況等を総合的に考慮して行われる

---

## 13840: 法人税更正請求に対する更正すべき理由がない旨の通知処分取消等請求事件（東京地方裁判所 2023-03-30）

**主文の要旨**: 更正処分の義務付けを求める部分を却下し、その余の請求を棄却する。

### 事案
