# batch-323 (shard-09; 3 cases per file)
# cases: 13844, 13845, 13847

---

## 13844: 所得税更正処分等取消請求事件（東京地方裁判所 2023-04-21）

**主文の要旨**: 原告らの請求をいずれも棄却する。

### 事案
被相続人Ａの相続人である原告らが、Ａの平成27年分所得税等の準確定申告をしたところ、処分行政庁から、Ａが生前に行った取引相場のない株式の低額譲渡（所得税法59条1項適用）に係る譲渡所得の金額に誤りがあるとして更正処分及び過少申告加算税の賦課決定処分を受けた。原告らは、株式の譲渡時価額（1株当たり純資産価額）の計算上、互助会契約に係る既払掛金対応債務及び引当金を負債として控除すべきと主張し、処分の一部取消しを求めた。

### 争点
- 株式の譲渡時価額を純資産価額方式で評価する際、控除すべき負債の範囲は「確実と認められる債務」に限られるか
- 雑収入計上済既払掛金（互助会契約に基づく将来の役務提供債務）を負債として控除できるか
- 本件引当金を負債として控除できるか
- 履行の可能性が高い債務も控除対象とすべきとの原告主張の当否

### 判断（要旨）
- 所得税法59条1項の譲渡時価額を「1株当たりの純資産価額（相続税評価額）」で評価する場合、控除する負債は「確実と認められる債務」に限られ、引当金・準備金は含まれない（評価通達186）
- この取扱いは、株式の客観的交換価値を画一的・一義的に評価する方法として一般的合理性を有する
- 「履行の可能性が高い債務」も考慮すべきとの原告主張は、客観的根拠を伴わない評価者の主観に基づく判断となり、納税者間の公平を損なうため採用できない
- 雑収入計上済既払掛金及び本件引当金はいずれも「確実と認められる債務」に該当せず、控除しなかった本件各処分は適法
- 本件各更正処分・賦課決定処分はいずれも適法であり、原告らの請求を棄却

> 株式に係る所得税法59条1項の譲渡時価額、すなわち客観的交換価値を、当該株式の発行会社の1株当たりの純資産価額によって評価しようとする場合においては、確実と認められる債務に限って、純資産価額の計算上控除する趣旨であると解される。

### 実務メモ
- 取引相場のない株式の譲渡時価額を純資産価額方式で算定する際、引当金・準備金は負債として控除不可
- 評価通達186の趣旨は所得税法59条1項の適用場面にも及ぶ
- 将来の役務提供義務等、履行の蓋然性があっても「確実と認められる債務」でなければ控除対象外
- 低額譲渡によるみなし譲渡課税の場面では、譲渡時価額の算定方法に留意が必要

---

## 13845: 源泉所得税納税告知処分取消等請求控訴事件（東京高等裁判所 2023-04-26）

**主文の要旨**: 本件控訴を棄却する。

### 事案
イベントプロモート事業を営む控訴人が、外国音楽家を国内公演に招いた際、当該音楽家のマネジメントを行う外国芸能法人等に対し、出演料とは別に渡航費・機材運送費等（渡航費等）を支払った。控訴人はこの渡航費等について源泉徴収をしなかったところ、税務署長から、渡航費等は所得税法161条1項6号の「人的役務の提供に係る対価」に該当するとして、源泉所得税等の納税告知処分及び不納付加算税の賦課決定処分を受けた。原審で敗訴した控訴人が控訴。

### 争点
- 渡航費等の名目で支払われた金員が「人的役務の提供に係る対価」として源泉徴収の対象となるか
- 経費相当額であることが明らかな部分についても源泉徴収が必要か
- 日本に恒久的施設を有しない外国事業者に確定申告・還付手続の負担を強いることの妥当性

### 判断（要旨）
- 原判決を維持し、控訴を棄却
- 「渡航費等」の名目で支払われる金員についても、課税の公平の見地等から、一旦は源泉徴収の対象とし、後日確定申告を通じた還付制度によって純所得課税を受ける制度を法が予定している
- 外国事業者は、確定申告による還付手続の負担を踏まえて、報酬額に係る取り決めをすることが考えられる
- 渡航費等が所得税賦課対象か否かは、後日の確定申告手続において客観的・合理的に明らかにされるべき事柄であり、支払段階での支払者の主観的判断で区分されるものではない
