# batch-326 (shard-09; 3 cases per file)
# cases: 13864, 13865, 13867

---

## 13864: 法人税更正処分等取消請求事件（東京地方裁判所 2023-07-20）

**主文の要旨**：平成26年12月期法人税更正処分等の一部取消し（原告勝訴）

### 事案
B社は平成26年にC社への吸収分割を行い、その後解散して原告に吸収合併された。処分行政庁は、分割時にB社がC社へ移転した資産負債の時価を6億132万円と算定し、これを前提にB社の平成26年12月期・平成27年11月期の法人税、復興特別法人税の各更正処分及び過少申告加算税の賦課決定処分を行った。原告は、①理由付記の不備、②時価算定の誤りを主張して各処分の取消しを求めた。

### 争点
- 更正処分の理由付記に不備があり違法か
- 分割により移転した承継資産負債の「時価」（法人税法62条1項）をいくらと認定すべきか
- 独立当事者間取引で形成された対価の合理性をどう判断するか
- 時価認定の結果、各更正処分・賦課決定処分は違法となるか

### 判断（要旨）
- 理由付記について、更正処分庁の恣意抑制及び不服申立ての便宜という制度趣旨を充足する程度に根拠を具体的に明示していれば足り、本件更正通知書に不備はない
- 法人税法62条1項の「時価」とは、不特定多数の当事者間で自由な取引が行われる場合に通常成立する客観的交換価値をいう
- 独立当事者間の交渉により価額が形成された場合、各当事者は自己の利益を最大化するため行動するのが通常であるから、原則として当該価額は合理的に形成されたものとして時価と認めるのが相当
- 本件承継資産負債の時価は処分行政庁の算定（6億132万円）ではなく、1729万5000円と認定
- 上記時価認定に基づく再計算の結果、納付すべき税額は0円となるため、各更正処分のうち0円を超える部分及び各賦課決定処分を取り消す

> 独立当事者間の交渉により価額が形成された場合においては、各当事者は自己の利益を最大化するために行動することが通常であることから、原則として、当該価額は合理的に形成されたものとして、時価による取引が行われたと解するのが相当である。

### 実務メモ
- 組織再編における時価評価では、独立当事者間交渉で形成された対価は原則として時価と推定される
- 青色申告の更正理由付記は、帳簿記載以上の証拠資料を摘示しなくても、根拠の具体的明示があれば適法
- 課税庁が独自の企業価値評価で時価を算定しても、当事者間の合理的交渉結果が優先される場合がある
- 分割承継資産負債の時価は後続事業年度の繰越欠損金にも影響するため、慎重な検討が必要

---

## 13865: 法人税更正請求に対する更正すべき理由がない旨の通知処分取消等請求事件（東京地方裁判所 2023-07-20）

**主文の要旨**：義務付けの訴えを却下、通知処分取消請求を棄却（原告敗訴）

### 事案
非営利型法人に該当する一般財団法人である原告は、収益事業以外の事業に属する資産から生じた利子及び配当等について源泉徴収された所得税の額を法人税の額から控除し、還付を求める更正の請求をした。鹿児島税務署長は更正すべき理由がない旨の通知処分をしたため、原告は同処分の取消しと更正処分の義務付けを求めて提訴した。

### 争点
- 非営利型法人が受け取る利子配当等に係る源泉所得税を法人税額から控除できるか
- 法人税法7条（公益法人等の非課税規定）を根拠に源泉徴収を免れるか
- 非営利型法人と公益法人との課税上の区別は憲法14条1項に違反するか
- 申請型義務付けの訴えの適法性

### 判断（要旨）
- 原告は非営利型法人であり公益法人ではないから、所得税法11条1項別表第1の適用がなく、同法212条3項により利子配当等の支払時に所得税が源泉徴収される
- 本件利子配当等は収益事業以外の事業に属する資産から生じたものであるから、法人税法68条2項により同条1項の税額控除は適用されない
- 法人税法7条は収益事業以外の所得に法人税を課さない規定であり、所得税の源泉徴収対象所得の非課税を定めるものではない
- 租税立法における区別は、立法目的が正当で区別の態様が著しく不合理でない限り憲法14条1項に違反しない。本件の課税上の区別はこれに該当しない
- 通知処分が適法である以上、申請型義務付けの訴えは不適法で却下

> 非営利型法人が支払を受ける利子及び配当等から所得税が源泉徴収され、その額につき法人税の額からの控除が認められないことが憲法の規定に違反するものということはできない。

### 実務メモ
- 非営利型法人は公益法人と異なり、利子配当等の源泉所得税について法人税額からの控除を受けられない
- 法人税法7条の非課税規定は法人税についてのものであり、所得税の源泉徴収を免除する効果はない
- 収益事業以外の資産から生じた利子配当等は、法人税法68条2項により税額控除の対象外となる
- 非営利型法人と公益法人との課税上の差異は、立法裁量の範囲内として合憲と判断される傾向

---

## 13867: 法人事業に係る処分取消請求控訴事件（大阪高等裁判所 2023-07-27）

**主文の要旨**：控訴棄却（訴え却下判決を維持、控訴人敗訴）

### 事案
控訴人は、処分行政庁から平成27年12月期・平成28年12月期の法人税及び各課税事業年度の地方法人税について、所得金額を欠損金額に、納付すべき税額を0円に減額する各更正処分を受けた。これは、控訴人が申告していた下宿事業による所得が控訴人に帰属しないと判断されたためである。控訴人は、この税額減少の更正処分の取消しを求めて提訴したが、原審は訴えの利益がないとして却下した。

### 争点
- 納付すべき税額を減少させる更正処分に対して取消しを求める訴えの利益があるか
- 課税標準である所得金額等の更正部分に処分性が認められるか
- 下宿事業の帰属否認という事実認定に対して取消訴訟で争えるか

### 判断（要旨）
- 取消訴訟は処分の法的効果により権利利益が侵害されている場合に、その効果を遡及的に消滅させて権利を回復させることを目的とする
- 既に確定した納付すべき税額を減少させる更正処分は、納税者に有利な効果をもたらす処分にすぎないから、納税者がその取消しを求める訴えの利益はない
- 課税標準等は税額算定の根拠となる数額・過程にすぎず、直接国民の権利義務を形成するものではないから、原則として処分性がない
- 課税標準等の更正が将来の他の処分の法的障害や要件となるなど権利制約を生じさせる場合は別だが、本件ではそのような事情は認められない
- 控訴人が主張する消費税還付申告への影響は、本件更正処分の法的効果ではなく事実上の不利益にすぎない

> 課税標準等は、税額の有無及び額を算定するに当たっての根拠となる数額ないし過程にすぎず、直接国民の権利義務を形成し又はその範囲を確定するものとはいえない。

### 実務メモ
- 税額減少の更正処分（減額更正）は納税者に有利な処分であり、取消しを求める訴えの利益がない
- 課税標準や所得金額の認定に不満があっても、税額に影響がなければ取消訴訟で争うことは困難
- 事業の帰属否認など事実認定への不服は、それが税額増加につながらない限り訴訟上の救済が得にくい
- 基準期間の課税売上高認定が消費税の課税事業者判定に影響する場合でも、当該認定自体の処分性は別途検討が必要

---
