# batch-329 (shard-09; 3 cases per file)
# cases: 13886, 13888, 13892

---

## 13886: 法人税額等の更正及び過少申告加算税賦課決定処分取消等請求事件（静岡地方裁判所 2023-09-21）

**主文の要旨**：原告の請求をいずれも棄却する（課税処分は適法）。

### 事案
一般社団法人である原告は、自ら所有する土地（陸上自衛隊演習場・営舎地区）を国に貸し付け、その賃貸料を受領していた。原告は賃貸料収入を「分割地会計」として別経理で処理し、事務手数料3％を控除した上で「地権者」と称する者らに分配金を支払っていた。処分行政庁は、賃貸料収入を原告の益金に算入し、地権者への分配金を寄附金と認定して、平成25年〜28年12月期の法人税等の更正処分及び過少申告加算税賦課決定処分を行った。

### 争点
- 土地賃貸料が原告の益金（法人税法22条1項）に算入されるか
- 地権者への分配金が寄附金（法人税法37条7項）に該当するか
- 原告は地権者の代理人にすぎず、賃貸料は地権者に帰属するとの原告主張の当否
- 本件各処分の適法性

### 判断（要旨）
- 賃貸借契約書上の賃貸人は原告であり、原告名義の口座に賃貸料が入金され、原告が収支決算書で収入計上している事実から、賃貸料は原告に帰属する
- 過去に「耕作者」の記載がある契約書等が存在したとしても、本件期間の契約では地権者への言及や委任状作成がなく、原告が代理人にすぎないとは認められない
- 原告が地権者に分配金を支払う法的義務は認められず、対価性も経済的合理性もないから、寄附金に該当する
- 本件各処分における納付すべき税額の計算は正当であり、処分は適法

> 本件各賃貸借契約の賃貸人は原告であり、本件各賃貸料は、原告が所有する土地を国に対して貸し付けた対価であるから、原告の当該事業年度の収益の額に該当するというべきである。

### 実務メモ
- 法人が土地賃貸借契約の名義人である場合、「実質的には第三者が賃貸人」との主張は、契約書・登記・入金口座・会計処理等の客観的事実により否定されやすい
- 対価性・経済的合理性のない金員の支払は、法人税法上の寄附金と認定されるリスクがある
- 過去の経緯（耕作者の存在等）があっても、現在の契約関係で明示されていなければ権利主張は困難

---

## 13888: 法人税更正請求に対する更正すべき理由がない旨の通知処分取消等請求控訴事件（東京高等裁判所 2023-03-30）

**主文の要旨**：本件控訴をいずれも棄却する（原審維持、納税者敗訴）。

### 事案
非営利型の一般財団法人である控訴人は、令和2年3月期の法人税確定申告後、利子・配当等に係る源泉徴収所得税について税額控除を適用し、控除しきれなかった金額の還付を求める更正の請求を行った。処分行政庁は「更正すべき理由がない」旨の通知処分をした。控訴人は、通知処分の取消しと更正処分の義務付けを求めて出訴したが、原審で請求棄却・訴え却下となり、控訴した。

### 争点
- 非営利型法人が収益事業外で受領した利子・配当に係る源泉所得税について、法人税法68条1項の所得税額控除の適用があるか
- 法人税法68条2項により控除が制限される場合、控除しきれない源泉所得税の還付を受けられるか
- 国税庁ホームページの記載や国会答弁書との矛盾の有無
- 本件通知処分の適法性及び義務付け訴訟の適法性

### 判断（要旨）
- 法人税法68条2項により、収益事業に係る所得以外の所得に対する法人税額からは所得税額控除ができないとされており、本件通知処分は適法
- 国税庁ホームページの記載は一般的・原則的な取扱いを示すもので、68条2項適用の場合について特段の記載がないことは矛盾ではない
- 学説上、非営利型法人の金融資産収益について立法論として疑問を呈する見解があるが、これは立法論であり、現行法の解釈として源泉所得税を「取り切り」とする制度が不合理とはいえない
- 本件通知処分が適法である以上、義務付けの訴えは行政事件訴訟法37条の3第1項2号の要件を欠き不適法

### 実務メモ
- 非営利型法人が収益事業外で受け取る利子・配当に係る源泉所得税は、法人税法68条2項により税額控除の対象外となり、還付も受けられない（いわゆる「取り切り」）
- 国税庁の一般的な説明文書は、例外規定の適用がある場合を網羅していないことがある
- 立法論として制度の不合理を主張しても、現行法の解釈・適用には影響しない

---

## 13892: 課税処分取消請求事件（水戸地方裁判所 2023-10-12）

**主文の要旨**：本件訴えのうち申告額を超えない部分の取消請求を却下し、その余の請求を棄却する。

### 事案
原告は、平成25年分の所得税等について、上場株式等譲渡損失及び先物取引損失が生じたとして、令和2年3月14日に期限後申告書を提出し、損失を翌年以後に繰り越す旨を記載した。その後、平成27年〜30年分の確定申告において繰越損失控除を適用した。処分行政庁は、期限後申告書の提出が法定申告期限から5年を経過しており無効であるとして、繰越損失控除を否認する更正処分を行った。

### 争点
- 更正処分のうち申告額を超えない部分の取消しを求める訴えの適法性
- 期限後申告書の提出が可能な期間の解釈
- 平成25年分の期限後申告書が有効に提出されたか
- 繰越損失控除規定の適用要件を満たすか

### 判断（要旨）
- 申告納税方式の下、更正処分のうち申告額を超えない部分の取消しを求めるには、確定申告の錯誤が客観的に明白かつ重大で、更正の請求以外に是正を許さなければ納税者の利益を著しく害する特段の事情が必要であり、本件にはこれがない
- 期限後申告書の提出可能期間は、国税の徴収権が時効消滅するまで（法定納期限から原則5年、偽り等の場合は実質7年）と解される
- 平成25年分の法定納期限は平成26年3月17日であり、徴収権時効は平成31年3月17日に完成する。原告の期限後申告書提出（令和2年3月14日）はこれを経過しており無効
- 平成25年分の損失を繰り越す前提を欠くため、平成27年分・28年分で繰越損失控除を適用できないとした更正処分は適法

> 期限後申告書の提出が可能な期間は、その国税の徴収権が時効により消滅するまでと解するのが相当である。

### 実務メモ
- 期限後申告書は「決定があるまで」提出可能とされるが、徴収権の消滅時効（原則5年）経過後は提出できない
- 上場株式等譲渡損失・先物取引損失の繰越控除を受けるには、損失が生じた年分の確定申告書を期限内（または徴収権時効内）に提出する必要がある
- 更正処分のうち申告額以下の部分を争うには、更正の請求が原則必要であり、直接取消訴訟を提起しても却下される

---
