# batch-331 (shard-09; 3 cases per file)
# cases: 13910, 13911, 13917

---

## 13910: 法人税更正処分等取消請求事件（東京地方裁判所 2023-12-07）

**主文の要旨**: 江東西税務署長が原告に対してした別紙１処分一覧記載の各処分をいずれも取り消す。

### 事案
原告（内国法人）は、国外関連者であるF社との間で車両用ターボチャージャに係る部品輸出取引、無形資産取引及び役務提供取引を行っていた。江東西税務署長は、これらの国外関連取引について取引単位営業利益法に準ずる方法と同等の方法により独立企業間価格を算定し、平成25年3月期から平成28年3月連結期までの法人税、復興特別法人税及び地方法人税の各更正処分並びに過少申告加算税の賦課決定処分を行った。原告は、税務署長が採用した算定方法は取引単位営業利益法に準ずる方法と同等の方法とはいえないとして、自認額を超える部分の取消しを求めた。

### 争点
- 税務署長が採用した本件算定方法が、措置法施行令39条の12第8項4号所定の「取引単位営業利益法に準ずる方法と同等の方法」に該当するか
- 国外関連取引と国外関連取引に対応する取引との対応関係をどの程度厳格に解すべきか
- 比較対象法人との差異が売上高営業利益率に与える影響とその調整の可否
- 独立企業間価格の算定における比較対象法人の選定の適否

### 判断（要旨）
- 取引単位営業利益法に準ずる方法と同等の方法とは、棚卸資産の売買取引以外の取引において、取引内容に適合し、取引単位営業利益法の考え方から乖離しない合理的な方法をいう
- 国外関連取引と対応取引との対応関係は一定程度緩やかに解することが許容される。国外関連者が取得した資産に価値を付けたものを非関連者に譲渡した取引の価格に基づき独立企業間価格を算定しても、取引単位営業利益法の考え方に反しない
- 国外関連者と比較対象法人との差異が売上高営業利益率に重要な影響を与えないか、又は差異の影響を取り除く相当程度正確な調整が可能であれば、比較対象法人の売上高営業利益率を基に独立企業間価格を算定できる
- 営業利益指標は、機能・リスクの差異によってそれほど大きな影響を受けない

> 取引単位営業利益法（２号）に準ずる方法と同等の方法においても、国外関連取引に対応する取引の対象が、国外関連者が内国法人との取引によって得た資産及び同資産に国外関連者が付加した価値をすべて包含するものであれば、取引単位営業利益法（２号）の考え方から乖離するものではないというべきである。

### 実務メモ
- 移転価格税制における「同等の方法」の解釈について、取引内容への適合性と算定方法の考え方からの非乖離性という2つの要件を示した裁判例
- 国外関連取引と対応取引の対応関係について、純然たる卸業以外の場合は厳格な同一性を要求しない柔軟な解釈を採用
- 比較対象法人との差異調整について、営業利益指標は機能・リスクの差異の影響を受けにくいとのOECDガイドラインの指摘を参照
- 再販売価格基準法では困難な製造活動を伴う取引でも、取引単位営業利益法では対応可能な場合があることを示唆

---

## 13911: 法人税額等の更正処分等取消請求上告及び上告受理事件（最高裁判所 2023-12-13）

**主文の要旨**: 本件上告を棄却する。本件を上告審として受理しない。

### 事案
法人税額等の更正処分等の取消しを求める訴訟において、原告（一般財団法人）が上告及び上告受理申立てを行った事案である。原審の具体的内容は本決定文からは明らかでない。

### 争点
- 上告理由が民訴法312条1項又は2項所定の事由に該当するか
- 上告受理申立ての理由が民訴法318条1項により受理すべき事案か

### 判断（要旨）
- 民事事件について最高裁判所に上告をすることが許されるのは民訴法312条1項又は2項所定の場合に限られるところ、本件上告の理由は明らかに上記各項に規定する事由に該当しない
- 本件申立ての理由によれば、本件は民訴法318条1項により受理すべきものとは認められない
- 上告棄却、上告不受理により原審の判断が確定

### 実務メモ
- 本決定は定型的な上告棄却・不受理決定であり、実体的判断は示されていない
