id	date	court	title	result	keywords	laws
12416	2014-02-21	最高裁判所	法人税更正処分取消等請求上告事件	取消	更正処分	
12435	2014-03-18	東京地方裁判所	法人税更正処分取消請求事件	取消	更正処分,過少申告加算税,租税回避	国税通則法65条,法人税法132条,相続税法64条
12436	2014-03-18	東京地方裁判所	法人税更正処分等取消請求事件	取消	更正処分,過少申告加算税,損金算入	国税通則法65条,法人税法132条,相続税法64条
12437	2014-03-18	東京地方裁判所	法人税更正処分等取消請求事件	取消	更正処分,重加算税,過少申告加算税,無申告加算税,損金算入	国税通則法65条,法人税法22条,法人税法37条
12442	2014-03-27	東京高等裁判所	消費税更正処分等取消請求控訴事件	取消	更正処分,過少申告加算税,仕入税額控除,青色申告	消費税法30条
12444	2014-03-27	最高裁判所	法人税更正処分等取消請求上告事件	取消	更正処分	
12460	2014-04-23	東京高等裁判所	更正すべき理由がない旨の通知処分取消等請求控訴事件	取消	更正処分,不当利得	国税通則法23条,法人税法22条
12462	2014-04-24	名古屋地方裁判所	更正処分等取消請求事件	取消	更正処分,重加算税,過少申告加算税	国税通則法65条,国税通則法68条,法人税法22条
12464	2014-04-25	東京地方裁判所	損害賠償請求事件	棄却	更正処分,損金算入,国家賠償,損害賠償	
12469	2014-05-09	東京地方裁判所	法人税更正処分取消等請求事件	取消	更正処分,過少申告加算税,租税回避	国税通則法23条,国税通則法65条,所得税法157条
12472	2014-05-19	最高裁判所	法人税更正処分取消等請求上告提起及び上告受理申立て事件	取消	更正処分	
12474	2014-05-19	最高裁判所	法人税更正処分取消等請求上告提起及び上告受理申立て事件	取消	更正処分	
12477	2014-05-27	最高裁判所	法人税更正処分取消等請求上告及び上告受理事件	取消	更正処分	
12478	2014-05-28	横浜地方裁判所	法人税更正決定処分等取消請求事件	取消	更正処分,重加算税,過少申告加算税,青色申告	国税通則法65条,国税通則法68条,消費税法30条
12479	2014-05-28	東京地方裁判所	法人税更正処分取消等請求事件	取消	更正処分,重加算税,過少申告加算税	国税通則法65条,国税通則法68条,法人税法22条
12482	2014-05-30	東京地方裁判所	処分取消請求事件	取消	更正処分,重加算税,過少申告加算税,寄附金,役員給与	国税通則法65条,法人税法22条,法人税法34条
12484	2014-06-12	東京高等裁判所	法人税更正処分取消等請求控訴事件	取消	更正処分,過少申告加算税,損金算入,寄附金	法人税法22条,法人税法37条,法人税法61条
12485	2014-06-13	新潟地方裁判所	更正処分取消等請求事件	取消	更正処分,重加算税,青色申告	国税通則法65条
12487	2014-06-18	東京高等裁判所	法人税更正処分取消等請求控訴事件	取消	更正処分,過少申告加算税,租税回避	
12490	2014-06-20	東京地方裁判所	損害賠償請求事件	棄却	国家賠償,損害賠償	
12491	2014-06-24	福岡高等裁判所	法人税更正処分等取消請求控訴事件	取消	更正処分,過少申告加算税	
12495	2014-06-27	東京地方裁判所	法人税更正処分取消等請求事件	取消	更正処分,過少申告加算税	国税通則法23条,国税通則法65条,国税通則法68条
12496	2014-07-02	松山地方裁判所	法人税更正処分等取消請求事件	取消	更正処分,過少申告加算税,寄附金,交際費	国税通則法65条,法人税法22条,法人税法37条
12497	2014-07-02	松山地方裁判所	法人税更正処分等取消請求事件	取消	更正処分,過少申告加算税,交際費,損害賠償	国税通則法65条,法人税法22条,法人税法37条
12504	2014-07-10	最高裁判所	法人税更正処分等取消請求上告及び上告受理事件	取消	更正処分	
12506	2014-07-15	最高裁判所	法人税更正処分取消等請求上告及び上告受理事件	取消	更正処分	
12508	2014-07-16	岡山地方裁判所	法人税更正処分等決定取消請求事件	取消	更正処分,課税処分,過少申告加算税,租税回避	租税特別措置法66条の6
12510	2014-07-18	東京地方裁判所	法人税更正処分取消等請求事件	取消	更正処分,過少申告加算税,交際費,役員給与,信義則	国税通則法65条,法人税法22条,法人税法34条
12513	2014-08-06	東京高等裁判所	法人税更正処分等取消請求控訴事件	取消	更正処分,過少申告加算税,無申告加算税,必要経費,損金算入	
12517	2014-08-26	最高裁判所	法人税更正処分取消請求上告及び上告受理事件	取消	更正処分	
12518	2014-08-26	最高裁判所	法人税更正処分等取消請求上告及び上告受理事件	取消	更正処分	
12520	2014-08-28	東京地方裁判所	法人税更正処分等取消請求事件	取消	更正処分,過少申告加算税	国税通則法65条,法人税法22条,租税特別措置法66条の4
12523	2014-08-29	東京高等裁判所	法人税更正処分取消等請求控訴事件	取消	更正処分,過少申告加算税	法人税法22条
12524	2014-09-04	名古屋地方裁判所	法人税更正処分取消等請求事件	取消	更正処分,過少申告加算税,益金算入	国税通則法23条,国税通則法65条,租税特別措置法40条の4
12528	2014-09-17	東京高等裁判所	課税処分取消請求控訴事件	取消	課税処分,重加算税	
12531	2014-09-19	佐賀地方裁判所	損害賠償請求事件	棄却	重加算税,青色申告,国家賠償,損害賠償	国税通則法70条
12534	2014-09-26	大阪地方裁判所	青色申告承認取消処分取消等請求事件	取消	更正処分,重加算税,過少申告加算税,青色申告	国税徴収法38条,国税徴収法39条,国税通則法68条
