file	section_id	section_title	page_start	page_end	pid_start	pid_end	para_count	part_index	part_total
packs/beps-a03-cfc-rules-nta-ja-pack-00.txt	beps-a03-cfc-rules-nta-ja	BEPS Action 3: Designing Effective CFC Rules (NTA provisional translation)	1	7	p001	p007	7	1	1
packs/beps-a03-cfc-rules-nta-ja-pack-01.txt	beps-a03-cfc-rules-nta-ja	BEPS Action 3: Designing Effective CFC Rules (NTA provisional translation)	8	12	p008	p012	5	1	1
packs/beps-a03-cfc-rules-nta-ja-pack-02.txt	beps-a03-cfc-rules-nta-ja	BEPS Action 3: Designing Effective CFC Rules (NTA provisional translation)	13	18	p013	p018	6	1	1
packs/beps-a03-cfc-rules-nta-ja-pack-03.txt	beps-a03-cfc-rules-nta-ja	BEPS Action 3: Designing Effective CFC Rules (NTA provisional translation)	19	25	p019	p025	7	1	1
packs/beps-a03-cfc-rules-nta-ja-pack-04.txt	beps-a03-cfc-rules-nta-ja	BEPS Action 3: Designing Effective CFC Rules (NTA provisional translation)	26	31	p026	p031	6	1	1
packs/beps-a03-cfc-rules-nta-ja-pack-05.txt	beps-a03-cfc-rules-nta-ja	BEPS Action 3: Designing Effective CFC Rules (NTA provisional translation)	32	37	p032	p037	6	1	1
packs/beps-a03-cfc-rules-nta-ja-pack-06.txt	beps-a03-cfc-rules-nta-ja	BEPS Action 3: Designing Effective CFC Rules (NTA provisional translation)	38	42	p038	p042	5	1	1
packs/beps-a03-cfc-rules-nta-ja-pack-07.txt	beps-a03-cfc-rules-nta-ja	BEPS Action 3: Designing Effective CFC Rules (NTA provisional translation)	43	48	p043	p048	6	1	1
packs/beps-a03-cfc-rules-nta-ja-pack-08.txt	beps-a03-cfc-rules-nta-ja	BEPS Action 3: Designing Effective CFC Rules (NTA provisional translation)	49	55	p049	p055	7	1	1
packs/beps-a03-cfc-rules-nta-ja-pack-09.txt	beps-a03-cfc-rules-nta-ja	BEPS Action 3: Designing Effective CFC Rules (NTA provisional translation)	56	59	p056	p059	4	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-00.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	1	2	p001	p002	2	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-01.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	3	6	p003	p006	4	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-02.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	7	11	p007	p011	5	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-03.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	12	16	p012	p016	5	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-04.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	17	24	p017	p024	8	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-05.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	25	31	p025	p031	7	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-06.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	32	38	p032	p038	7	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-07.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	39	44	p039	p044	6	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-08.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	45	50	p045	p050	6	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-09.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	51	55	p051	p055	5	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-10.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	56	62	p056	p062	7	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-11.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	63	69	p063	p069	7	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-12.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	70	76	p070	p076	7	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-13.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	77	85	p077	p085	9	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-14.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	86	95	p086	p095	10	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-15.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	96	105	p096	p105	10	1	1
packs/beps-a04-interest-deductions-nta-ja-pack-16.txt	beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	106	108	p106	p108	3	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-00.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	1	5	p001	p005	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-01.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	6	10	p006	p010	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-02.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	11	15	p011	p015	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-03.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	16	20	p016	p020	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-04.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	21	25	p021	p025	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-05.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	26	30	p026	p030	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-06.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	31	35	p031	p035	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-07.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	36	41	p036	p041	6	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-08.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	42	46	p042	p046	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-09.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	47	51	p047	p051	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-10.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	52	56	p052	p056	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-11.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	57	61	p057	p061	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-12.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	62	66	p062	p066	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-13.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	67	71	p067	p071	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-14.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	72	76	p072	p076	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-15.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	77	81	p077	p081	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-16.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	82	86	p082	p086	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-17.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	87	91	p087	p091	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-18.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	92	96	p092	p096	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-19.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	97	101	p097	p101	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-20.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	102	106	p102	p106	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-21.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	107	112	p107	p112	6	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-22.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	113	117	p113	p117	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-23.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	118	122	p118	p122	5	1	1
packs/beps-a08-10-tp-value-creation-nta-ja-pack-24.txt	beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	123	127	p123	p127	5	1	1
