doc_id	jurisdiction	source_url	source_basename	is_synth	file
australia--synthesizedtextforjapan-australia-jp	Australia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Australia_JP.pdf	SynthesizedTextforJapan_Australia_JP.pdf	True	source/raw/australia--synthesizedtextforjapan-australia-jp.pdf
austria--20170131at-a	Austria	http://www.mof.go.jp/tax_policy/summary/international/press_release/20170131at_a.pdf	20170131at_a.pdf	False	source/raw/austria--20170131at-a.pdf
belgium--20161012be-a	Belgium	http://www.mof.go.jp/tax_policy/summary/international/press_release/20161012be_a.pdf	20161012be_a.pdf	False	source/raw/belgium--20161012be-a.pdf
brazil--brazil1967-jp-en	Brazil	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Brazil1967_jp_en.pdf	Brazil1967_jp_en.pdf	False	source/raw/brazil--brazil1967-jp-en.pdf
brazil--brazil-st-jp	Brazil	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Brazil_ST_jp.pdf	Brazil_ST_jp.pdf	True	source/raw/brazil--brazil-st-jp.pdf
brazil--brazil1976-p-jp-en	Brazil	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Brazil1976_P_jp_en.pdf	Brazil1976_P_jp_en.pdf	False	source/raw/brazil--brazil1976-p-jp-en.pdf
brazil--brazil1976-en-jp-en	Brazil	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Brazil1976_EN_jp_en.pdf	Brazil1976_EN_jp_en.pdf	False	source/raw/brazil--brazil1976-en-jp-en.pdf
brazil--brazil1976-am-jp-en	Brazil	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Brazil1976_AM_jp_en.pdf	Brazil1976_AM_jp_en.pdf	False	source/raw/brazil--brazil1976-am-jp-en.pdf
canada--canada1986-jp-en	Canada	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Canada1986_jp_en.pdf	Canada1986_jp_en.pdf	False	source/raw/canada--canada1986-jp-en.pdf
canada--synthesizedtextforjapan-canada-jp	Canada	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Canada_JP.pdf	SynthesizedTextforJapan_Canada_JP.pdf	True	source/raw/canada--synthesizedtextforjapan-canada-jp.pdf
canada--canada1999-p-jp-en-fr	Canada	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Canada1999_P_jp_en_fr.pdf	Canada1999_P_jp_en_fr.pdf	False	source/raw/canada--canada1999-p-jp-en-fr.pdf
china--china1983-jp-en	China	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/China1983_jp_en.pdf	China1983_jp_en.pdf	False	source/raw/china--china1983-jp-en.pdf
china--china1983-en1-jp-en	China	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/China1983_EN1_jp_en.pdf	China1983_EN1_jp_en.pdf	False	source/raw/china--china1983-en1-jp-en.pdf
china--china1983-en2-jp-en	China	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/China1983_EN2_jp_en.pdf	China1983_EN2_jp_en.pdf	False	source/raw/china--china1983-en2-jp-en.pdf
china--synthesizedtextforjapan-china-jp	China	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_China_JP.pdf	SynthesizedTextforJapan_China_JP.pdf	True	source/raw/china--synthesizedtextforjapan-china-jp.pdf
denmark--20171011dk-a	Denmark	http://www.mof.go.jp/tax_policy/summary/international/press_release/20171011dk_a.pdf	20171011dk_a.pdf	False	source/raw/denmark--20171011dk-a.pdf
denmark--20211105dk-j	Denmark	https://www.mof.go.jp/tax_policy/summary/international/press_release/20211105dk_j.pdf	20211105dk_j.pdf	False	source/raw/denmark--20211105dk-j.pdf
finland--finland1972-jp-en	Finland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Finland1972_jp_en.pdf	Finland1972_jp_en.pdf	False	source/raw/finland--finland1972-jp-en.pdf
finland--finland1972-en-jp-en	Finland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Finland1972_EN_jp_en.pdf	Finland1972_EN_jp_en.pdf	False	source/raw/finland--finland1972-en-jp-en.pdf
finland--synthesizedtextforjapan-finland1-jp	Finland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Finland1_JP.pdf	SynthesizedTextforJapan_Finland1_JP.pdf	True	source/raw/finland--synthesizedtextforjapan-finland1-jp.pdf
